Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,YUC,109,0,77,0,498,0,6,0,1,0,2,0,35,53,184,8,25,39
2020-04-13,YUC,116,7,101,24,500,2,6,0,2,1,2,0,38,71,156,7,42,22
2020-04-14,YUC,119,3,152,51,516,16,7,1,1,-1,4,2,36,117,151,5,77,26
2020-04-15,YUC,132,13,166,14,529,13,7,0,0,-1,6,2,44,126,131,9,85,21
2020-04-16,YUC,136,4,181,15,550,21,7,0,0,0,6,0,45,143,128,8,98,26
2020-04-17,YUC,145,9,214,33,551,1,8,1,4,4,6,0,45,174,121,13,112,24
2020-04-18,YUC,177,32,104,-110,639,88,10,2,2,-2,8,2,73,76,191,26,58,42
2020-04-19,YUC,180,3,108,4,650,11,10,0,2,0,8,0,73,75,187,17,48,31
2020-04-20,YUC,195,15,68,-40,692,42,10,0,2,0,9,1,76,39,202,15,25,44
2020-04-21,YUC,199,4,57,-11,703,11,12,2,1,-1,9,0,72,51,192,12,36,31
2020-04-22,YUC,204,5,64,7,734,31,15,3,0,-1,12,3,63,56,190,5,36,25
2020-04-23,YUC,238,34,59,-5,792,58,18,3,0,0,13,1,92,51,228,16,35,47
2020-04-24,YUC,248,10,84,25,806,14,19,1,0,0,13,0,95,77,214,15,64,27
2020-04-25,YUC,302,54,87,3,879,73,20,1,0,0,18,5,112,82,255,28,67,45
2020-04-26,YUC,323,21,79,-8,909,30,20,0,2,2,20,2,116,75,255,30,57,48
2020-04-27,YUC,353,30,109,30,964,55,23,3,1,-1,25,5,131,105,282,30,78,56
2020-04-28,YUC,378,25,193,84,996,32,23,0,2,1,27,2,146,179,280,26,149,62
2020-04-29,YUC,404,26,210,17,1036,40,26,3,3,1,28,1,157,206,287,30,175,70
2020-04-30,YUC,448,44,259,49,1079,43,26,0,3,0,30,2,187,251,311,51,209,85
2020-05-01,YUC,489,41,204,-55,1195,116,30,4,2,-1,30,0,210,201,380,53,170,153
2020-05-02,YUC,533,44,162,-42,1252,57,30,0,2,0,30,0,230,158,402,64,121,176
2020-05-03,YUC,588,55,98,-64,1300,48,31,1,2,0,32,2,261,97,423,69,76,164
2020-05-04,YUC,608,20,192,94,1314,14,31,0,1,-1,32,0,254,152,398,42,128,98
2020-05-05,YUC,648,40,151,-41,1374,60,33,2,2,1,35,3,263,149,441,46,121,85
2020-05-06,YUC,688,40,157,6,1431,57,36,3,1,-1,39,4,288,152,460,60,128,103
2020-05-07,YUC,727,39,183,26,1482,51,39,3,1,0,39,0,296,176,476,54,146,105
2020-05-08,YUC,753,26,211,28,1544,62,47,8,1,0,41,2,284,199,500,48,151,132
2020-05-09,YUC,791,38,161,-50,1638,94,47,0,3,2,42,1,288,131,555,53,92,148
2020-05-10,YUC,829,38,110,-51,1681,43,47,0,2,-1,43,1,287,106,537,59,72,145
2020-05-11,YUC,848,19,146,36,1718,37,50,3,2,0,44,1,254,135,490,44,104,107
2020-05-12,YUC,883,35,197,51,1747,29,53,3,3,1,45,1,256,185,446,45,147,73
2020-05-13,YUC,924,41,186,-11,1813,66,53,0,4,1,47,2,278,184,474,53,143,86
2020-05-14,YUC,972,48,208,22,1877,64,61,8,5,1,53,6,284,203,483,70,153,102
2020-05-16,YUC,1082,110,167,-41,2021,144,75,14,5,0,55,2,319,154,505,88,107,152
