Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,CMX,1173,0,1150,0,4041,0,51,0,5,0,20,0,480,782,1701,92,355,494
2020-04-13,CMX,1266,93,1307,157,4271,230,57,6,4,-1,22,2,507,857,1736,93,437,443
2020-04-14,CMX,1374,108,1680,373,4498,227,84,27,9,5,36,14,543,1245,1707,106,713,368
2020-04-15,CMX,1480,106,1951,271,4796,298,92,8,8,-1,42,6,560,1471,1747,112,920,352
2020-04-16,CMX,1592,112,2130,179,5147,351,102,10,11,3,45,3,598,1634,1841,118,992,405
2020-04-17,CMX,1804,212,2399,269,5050,-97,126,24,22,11,43,-2,713,1917,1956,150,1214,477
2020-04-18,CMX,1984,180,2008,-391,5360,310,161,35,16,-6,56,13,778,1583,2011,146,972,541
2020-04-19,CMX,2232,248,1346,-662,5821,461,164,3,14,-2,56,0,907,991,2231,176,572,625
2020-04-20,CMX,2323,91,1441,95,5992,171,166,2,16,2,56,0,874,1089,2126,141,600,505
2020-04-21,CMX,2459,136,1509,68,6215,223,191,25,13,-3,61,5,883,1314,2077,132,794,430
2020-04-22,CMX,2815,356,1477,-32,6863,648,212,21,12,-1,74,13,1085,1303,2092,173,815,347
2020-04-23,CMX,3157,342,1628,151,7324,461,227,15,15,3,76,2,1268,1444,2282,254,827,466
2020-04-24,CMX,3532,375,1750,122,7742,418,251,24,13,-2,79,3,1378,1534,2372,306,937,533
2020-04-25,CMX,3764,232,1880,130,7958,216,253,2,10,-3,81,2,1440,1666,2360,253,1025,444
2020-04-26,CMX,3966,202,1800,-80,8199,241,254,1,11,1,81,0,1470,1582,2298,212,857,402
