Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,SON,69,0,138,0,471,0,5,0,2,0,9,0,33,85,136,8,26,24
2020-04-13,SON,74,5,131,-7,497,26,9,4,1,-1,11,2,36,78,134,1,29,16
2020-04-14,SON,75,1,173,42,503,6,9,0,3,2,12,1,33,122,118,1,45,7
2020-04-15,SON,80,5,177,4,539,36,9,0,3,0,12,0,27,126,125,4,44,19
2020-04-16,SON,91,11,185,8,559,20,11,2,2,-1,13,1,37,135,117,5,67,20
2020-04-17,SON,101,10,197,12,544,-15,11,0,2,0,13,0,40,149,114,1,70,17
2020-04-18,SON,112,11,162,-35,559,15,11,0,2,0,14,1,45,116,107,7,43,11
2020-04-19,SON,121,9,133,-29,588,29,13,2,2,0,14,0,51,85,114,5,32,9
2020-04-20,SON,121,0,111,-22,631,43,13,0,3,1,14,0,37,70,125,3,35,10
2020-04-21,SON,118,-3,87,-24,664,33,14,1,3,0,15,1,28,80,130,1,41,9
2020-04-22,SON,132,14,81,-6,744,80,14,0,1,-2,20,5,33,77,144,1,43,12
2020-04-23,SON,139,7,74,-7,778,34,17,3,1,0,21,1,32,69,165,2,36,15
2020-04-24,SON,150,11,63,-11,809,31,17,0,1,0,23,2,30,60,165,6,24,17
2020-04-25,SON,149,-1,83,20,848,39,20,3,1,0,23,0,29,80,163,4,55,8
2020-04-26,SON,167,18,57,-26,893,45,20,0,1,0,23,0,38,54,175,5,38,31
2020-04-27,SON,182,15,73,16,925,32,20,0,1,0,23,0,47,70,177,7,42,31
2020-04-28,SON,190,8,142,69,954,29,21,1,3,2,23,0,45,132,182,6,80,30
2020-04-29,SON,202,12,166,24,977,23,22,1,5,2,27,4,53,151,170,9,84,25
2020-04-30,SON,215,13,194,28,1009,32,22,0,6,1,28,1,54,178,169,8,89,25
2020-05-01,SON,240,25,206,12,1032,23,24,2,2,-4,32,4,66,192,162,9,96,19
2020-05-02,SON,249,9,216,10,1044,12,24,0,2,0,32,0,55,203,159,6,95,19
2020-05-03,SON,266,17,191,-25,1093,49,24,0,2,0,32,0,66,169,188,4,78,22
2020-05-04,SON,280,14,206,15,1116,23,24,0,4,2,32,0,61,175,175,6,80,15
2020-05-05,SON,307,27,257,51,1143,27,24,0,5,1,36,4,70,229,176,6,108,18
2020-05-06,SON,342,35,283,26,1174,31,29,5,4,-1,36,0,83,254,156,4,134,16
2020-05-07,SON,387,45,296,13,1216,42,30,1,3,-1,37,1,103,275,169,16,156,20
2020-05-08,SON,415,28,306,10,1272,56,30,0,6,3,38,1,108,286,190,12,147,37
2020-05-09,SON,476,61,340,34,1300,28,31,1,6,0,39,1,142,324,190,21,200,20
2020-05-10,SON,504,28,345,5,1376,76,32,1,4,-2,42,3,150,326,233,17,210,41
2020-05-11,SON,541,37,313,-32,1423,47,33,1,5,1,42,0,163,291,253,11,170,48
2020-05-12,SON,567,26,397,84,1460,37,37,4,5,0,43,1,162,377,257,12,207,54
2020-05-13,SON,642,75,400,3,1538,78,38,1,7,2,44,1,213,383,300,26,226,57
2020-05-14,SON,687,45,526,126,1587,49,39,1,8,1,45,1,217,500,322,13,306,59
2020-05-15,SON,757,70,539,13,1657,70,42,3,8,0,49,4,234,512,353,23,313,66
2020-05-16,SON,800,43,629,90,1707,50,43,1,10,2,50,1,237,579,362,24,341,67
2020-05-17,SON,882,82,564,-65,1786,79,45,2,10,0,50,0,277,507,403,34,259,64
2020-05-18,SON,910,28,572,8,1834,48,46,1,11,1,51,1,247,504,400,19,222,48
2020-05-19,SON,985,75,681,109,1913,79,53,7,11,0,51,0,280,597,436,14,316,47
2020-05-21,SON,1124,139,948,267,2012,99,64,11,13,2,55,4,297,793,421,37,417,26
2020-05-22,SON,1194,70,1083,135,2050,38,67,3,17,4,56,1,313,898,394,28,443,17
2020-05-23,SON,1264,70,1209,126,2062,12,74,7,18,1,56,0,322,987,338,15,472,9
2020-05-24,SON,1440,176,1033,-176,2188,126,80,6,16,-2,60,4,415,800,348,32,395,31
2020-05-25,SON,1451,11,1077,44,2228,40,84,4,15,-1,60,0,360,801,323,7,366,26
2020-05-26,SON,1576,125,1134,57,2338,110,96,12,16,1,62,2,405,841,352,17,385,50
2020-05-27,SON,1613,37,1411,277,2395,57,100,4,17,1,66,4,369,1078,334,11,500,32
2020-05-28,SON,1650,37,1752,341,2398,3,103,3,20,3,67,1,343,1362,301,4,603,13
2020-05-29,SON,1803,153,1883,131,2467,69,114,11,23,3,67,0,384,1420,318,20,621,28
2020-05-30,SON,1865,62,2040,157,2489,22,121,7,23,0,68,1,347,1522,285,12,613,28
2020-05-31,SON,2091,226,1838,-202,2646,157,123,2,22,-1,68,0,441,1317,384,20,535,45
2020-06-01,SON,2142,51,1931,93,2662,16,129,6,26,4,68,0,386,1321,344,7,473,26
2020-06-02,SON,2334,192,2001,70,2774,112,145,16,23,-3,69,1,461,1345,384,24,487,60
2020-06-03,SON,2467,133,2167,166,2819,45,155,10,27,4,69,0,450,1439,322,18,523,45
2020-06-04,SON,2676,209,2240,73,2925,106,169,14,33,6,72,3,507,1467,346,11,578,31
2020-06-05,SON,2727,51,2596,356,2936,11,190,21,43,10,78,6,442,1713,306,11,688,9
2020-06-06,SON,2865,138,2694,98,2997,61,201,11,46,3,81,3,443,1741,319,6,647,7
2020-06-07,SON,2984,119,2714,20,3020,23,203,2,48,2,81,0,429,1718,272,4,593,5
2020-06-08,SON,3049,65,2872,158,3079,59,206,3,66,18,82,1,355,1761,243,0,490,15
2020-06-09,SON,3310,261,2982,110,3180,101,230,24,71,5,85,3,425,1828,280,4,563,5
2020-06-10,SON,3376,66,3327,345,3190,10,243,13,73,2,88,3,339,2066,224,0,627,0
2020-06-11,SON,3548,172,3507,180,3250,60,258,15,79,6,88,0,332,2190,195,1,689,0
2020-06-12,SON,3715,167,3708,201,3342,92,272,14,72,-7,89,1,339,2317,184,2,732,0
2020-06-13,SON,3837,122,3868,160,3371,29,284,12,84,12,92,3,244,2374,153,3,675,0
2020-06-14,SON,3983,146,3844,-24,3446,75,303,19,75,-9,94,2,246,2279,161,2,551,1
2020-06-15,SON,4097,114,3982,138,3498,52,321,18,76,1,96,2,177,2160,116,1,463,1
2020-06-16,SON,4134,37,4404,422,3503,5,351,30,101,25,104,8,117,2337,67,1,511,1
2020-06-17,SON,4192,58,4835,431,3523,20,360,9,119,18,108,4,98,2553,52,0,586,2
2020-06-18,SON,4530,338,4780,-55,3679,156,379,19,128,9,112,4,225,2474,103,3,664,3
2020-06-19,SON,4779,249,4876,96,3804,125,405,26,124,-4,117,5,226,2518,127,5,686,4
2020-06-20,SON,4958,179,4939,63,3913,109,419,14,130,6,122,5,222,2480,128,4,657,3
2020-06-21,SON,5098,140,4934,-5,3968,55,427,8,135,5,125,3,206,2343,107,2,534,2
2020-06-22,SON,5520,422,4638,-296,4135,167,443,16,127,-8,131,6,308,2053,162,9,468,2
