Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,HID,59,0,25,0,379,0,7,0,2,0,7,0,19,22,119,4,12,18
2020-04-13,HID,59,0,38,13,381,2,7,0,2,0,7,0,14,32,107,1,18,12
2020-04-14,HID,64,5,45,7,391,10,8,1,3,1,8,1,15,39,96,3,23,9
2020-04-15,HID,66,2,55,10,400,9,10,2,2,-1,9,1,17,43,84,2,34,11
2020-04-16,HID,69,3,59,4,404,4,10,0,2,0,10,1,20,47,78,4,33,10
2020-04-17,HID,75,6,64,5,405,1,11,1,4,2,10,0,22,51,75,8,29,12
2020-04-18,HID,80,5,61,-3,411,6,12,1,3,-1,10,0,24,49,68,6,22,11
2020-04-19,HID,93,13,55,-6,425,14,13,1,3,0,11,1,34,44,61,8,22,17
2020-04-20,HID,98,5,61,6,433,8,14,1,4,1,10,-1,33,50,58,4,15,17
2020-04-21,HID,113,15,42,-19,453,20,15,1,3,-1,10,0,46,37,66,9,9,27
2020-04-22,HID,125,12,40,-2,486,33,15,0,2,-1,10,0,52,33,72,11,11,24
2020-04-23,HID,128,3,49,9,493,7,14,-1,3,1,11,1,53,39,71,7,17,24
2020-04-24,HID,155,27,56,7,507,14,16,2,4,1,11,0,73,41,81,21,21,25
2020-04-25,HID,165,10,62,6,519,12,16,0,4,0,12,1,74,49,88,18,28,23
2020-04-26,HID,182,17,71,9,540,21,17,1,4,0,12,0,85,61,109,27,39,36
2020-04-27,HID,190,8,72,1,552,12,19,2,11,7,13,1,82,66,103,14,32,25
2020-04-28,HID,226,36,77,5,589,37,26,7,8,-3,15,2,110,72,118,20,38,27
2020-04-29,HID,242,16,86,9,601,12,27,1,7,-1,15,0,119,79,116,23,43,32
2020-04-30,HID,261,19,104,18,615,14,29,2,9,2,17,2,124,97,121,25,48,20
2020-05-01,HID,282,21,116,12,631,16,30,1,4,-5,18,1,136,111,118,25,62,20
2020-05-02,HID,306,24,115,-1,642,11,32,2,5,1,19,1,143,112,114,31,54,20
2020-05-03,HID,312,6,138,23,643,1,38,6,4,-1,19,0,136,132,107,21,58,16
2020-05-04,HID,334,22,153,15,663,20,43,5,6,2,19,0,134,136,101,17,65,17
2020-05-05,HID,374,40,141,-12,687,24,46,3,9,3,20,1,150,128,115,24,53,33
2020-05-06,HID,396,22,159,18,711,24,52,6,8,-1,23,3,158,141,132,25,73,43
2020-05-07,HID,431,35,178,19,754,43,59,7,8,0,24,1,168,155,148,25,96,51
2020-05-08,HID,475,44,188,10,773,19,65,6,5,-3,25,1,189,165,152,32,108,50
2020-05-09,HID,496,21,192,4,801,28,67,2,5,0,25,0,191,172,167,33,108,60
2020-05-10,HID,540,44,138,-54,843,42,75,8,5,0,25,0,207,116,195,41,59,76
2020-05-11,HID,574,34,131,-7,858,15,81,6,5,0,25,0,211,103,187,30,46,59
2020-05-12,HID,603,29,174,43,871,13,93,12,5,0,29,4,214,143,191,26,85,51
2020-05-13,HID,637,34,182,8,897,26,103,10,1,-4,33,4,228,150,200,33,87,45
2020-05-14,HID,680,43,195,13,928,31,115,12,4,3,33,0,237,159,211,49,86,37
2020-05-15,HID,748,68,207,12,964,36,131,16,7,3,34,1,264,169,219,57,96,48
2020-05-16,HID,812,64,212,5,998,34,141,10,8,1,35,1,291,187,229,74,105,57
2020-05-17,HID,844,32,234,22,1023,25,146,5,7,-1,35,0,287,206,228,64,108,62
2020-05-18,HID,920,76,187,-47,1065,42,152,6,11,4,35,0,318,162,226,59,81,63
2020-05-19,HID,966,46,228,41,1108,43,157,5,9,-2,37,2,333,195,248,63,108,57
2020-05-21,HID,1097,131,256,28,1209,101,180,23,9,0,39,2,394,231,263,79,130,64
2020-05-22,HID,1136,39,306,50,1245,36,188,8,15,6,44,5,385,278,270,62,166,58
2020-05-23,HID,1192,56,314,8,1273,28,199,11,14,-1,44,0,396,283,285,72,174,60
2020-05-24,HID,1243,51,326,12,1296,23,199,0,14,0,48,4,393,284,276,78,173,58
2020-05-25,HID,1319,76,285,-41,1363,67,202,3,13,-1,50,2,406,247,286,65,147,62
2020-05-26,HID,1439,120,233,-52,1397,34,226,24,15,2,52,2,483,194,276,80,132,63
2020-05-27,HID,1479,40,286,53,1431,34,234,8,14,-1,56,4,459,245,256,59,169,54
2020-05-28,HID,1544,65,303,17,1462,31,250,16,17,3,58,2,454,260,268,74,164,56
2020-05-29,HID,1599,55,376,73,1469,7,274,24,18,1,60,2,442,315,246,76,168,53
2020-05-30,HID,1670,71,359,-17,1516,47,284,10,17,-1,62,2,471,305,258,81,148,50
2020-05-31,HID,1710,40,385,26,1530,14,287,3,16,-1,62,0,457,333,247,74,158,41
2020-06-01,HID,1769,59,384,-1,1551,21,301,14,18,2,63,1,425,327,223,48,134,34
2020-06-02,HID,1898,129,353,-31,1602,51,311,10,18,0,70,7,464,301,241,60,160,31
2020-06-03,HID,2011,113,329,-24,1676,74,346,35,3,-15,72,2,483,283,276,75,176,54
2020-06-04,HID,2077,66,302,-27,1754,78,354,8,4,1,74,2,496,253,316,81,146,91
2020-06-05,HID,2131,54,363,61,1788,34,367,13,6,2,75,1,469,302,311,83,164,96
2020-06-06,HID,2196,65,340,-23,1841,53,373,6,5,-1,77,2,458,272,326,74,150,94
2020-06-07,HID,2270,74,291,-49,1902,61,380,7,5,0,77,0,475,227,357,75,118,94
2020-06-08,HID,2291,21,344,53,1912,10,385,5,5,0,77,0,388,274,324,50,140,55
2020-06-09,HID,2345,54,412,68,1957,45,392,7,6,1,79,2,383,341,336,60,179,65
2020-06-10,HID,2460,115,337,-75,2053,96,406,14,6,0,82,3,432,273,392,78,171,83
2020-06-11,HID,2518,58,409,72,2089,36,408,2,9,3,83,1,434,350,383,78,224,81
2020-06-12,HID,2616,98,369,-40,2193,104,422,14,7,-2,84,1,476,305,437,93,183,110
2020-06-13,HID,2675,59,408,39,2223,30,430,8,7,0,85,1,471,338,414,83,190,93
2020-06-14,HID,2739,64,355,-53,2276,53,437,7,7,0,86,1,474,285,403,85,134,86
2020-06-15,HID,2790,51,370,15,2319,43,443,6,9,2,88,2,457,287,371,75,140,82
2020-06-16,HID,2860,70,413,43,2370,51,454,11,12,3,91,3,466,321,373,77,160,78
2020-06-17,HID,2983,123,310,-103,2472,102,469,15,7,-5,95,4,505,239,431,62,136,94
2020-06-18,HID,3040,57,353,43,2522,50,479,10,9,2,99,4,489,282,443,54,166,95
