Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,MEX,653,0,855,0,2351,0,29,0,14,0,27,0,271,546,859,33,263,165
2020-04-13,MEX,704,51,967,112,2440,89,35,6,19,5,32,5,269,627,816,24,337,140
2020-04-14,MEX,759,55,1257,290,2545,105,44,9,13,-6,43,11,282,899,815,29,562,123
2020-04-15,MEX,837,78,1437,180,2684,139,51,7,12,-1,48,5,304,1057,777,42,684,124
2020-04-16,MEX,903,66,1501,64,2876,192,55,4,11,-1,53,5,334,1137,803,65,696,160
2020-04-17,MEX,1002,99,1729,228,2645,-231,60,5,21,10,47,-6,380,1352,768,67,816,167
2020-04-18,MEX,1071,69,1632,-97,2740,95,69,9,23,2,49,2,386,1283,748,64,698,148
2020-04-19,MEX,1207,136,1362,-270,2960,220,74,5,22,-1,50,1,464,1045,851,78,491,178
2020-04-20,MEX,1258,51,1419,57,3022,62,79,5,27,5,51,1,432,1077,784,50,426,121
2020-04-21,MEX,1381,123,1201,-218,3177,155,102,23,29,2,53,2,491,1072,822,39,491,115
2020-04-22,MEX,1593,212,1159,-42,3489,312,119,17,30,1,72,19,584,1024,869,53,482,110
2020-04-23,MEX,1734,141,1233,74,3644,155,134,15,29,-1,80,8,642,1086,904,61,536,135
2020-04-24,MEX,1992,258,1244,11,3861,217,147,13,29,0,87,7,764,1072,975,110,588,169
2020-04-25,MEX,2238,246,1287,43,4029,168,159,12,24,-5,92,5,899,1119,997,133,654,168
2020-04-26,MEX,2355,117,1312,25,4152,123,166,7,27,3,94,2,908,1127,972,101,649,168
2020-04-27,MEX,2455,100,1609,297,4252,100,177,11,34,7,96,2,860,1386,896,88,705,141
2020-04-28,MEX,2722,267,2178,569,4407,155,186,9,47,13,100,4,943,1983,926,80,1011,116
2020-04-29,MEX,2863,141,2693,515,4490,83,210,24,46,-1,101,1,873,2494,845,63,1245,97
2020-04-30,MEX,3130,267,3196,503,4646,156,239,29,63,17,107,6,956,2946,828,80,1594,93
2020-05-01,MEX,3422,292,3286,90,4832,186,257,18,56,-7,108,1,1033,3049,860,100,1637,83
2020-05-02,MEX,3615,193,3439,153,5001,169,273,16,52,-4,109,1,1020,3169,889,90,1640,118
2020-05-03,MEX,3893,278,3341,-98,5273,272,284,11,56,4,113,4,1076,3053,1000,78,1588,157
2020-05-04,MEX,4202,309,3707,366,5564,291,299,15,46,-10,114,1,1031,3339,1029,81,1799,153
2020-05-05,MEX,4353,151,4594,887,5681,117,327,28,62,16,118,4,954,4178,981,71,2261,127
2020-05-06,MEX,4661,308,5004,410,6021,340,359,32,64,2,122,4,1046,4560,1109,92,2640,161
2020-05-07,MEX,5077,416,5471,467,6519,498,406,47,56,-8,127,5,1203,5012,1417,126,3054,172
2020-05-08,MEX,5418,341,6340,869,6758,239,441,35,55,-1,129,2,1203,5896,1415,129,3229,177
2020-05-09,MEX,5710,292,6772,432,6966,208,472,31,63,8,131,2,1179,6303,1410,146,3211,214
