Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,BCS,120,0,266,0,399,0,2,0,0,0,3,0,68,220,161,4,63,16
2020-04-13,BCS,153,33,200,-66,467,68,3,1,0,0,3,0,89,146,199,4,49,21
2020-04-14,BCS,164,11,198,-2,514,47,5,2,0,0,4,1,86,147,209,3,70,18
2020-04-15,BCS,165,1,259,61,521,7,6,1,0,0,5,1,73,196,185,2,103,14
2020-04-16,BCS,166,1,276,17,548,27,6,0,0,0,6,1,59,205,179,3,88,30
2020-04-17,BCS,169,3,318,42,519,-29,6,0,0,0,6,0,46,240,144,3,93,27
2020-04-18,BCS,173,4,313,-5,523,4,6,0,0,0,6,0,37,224,120,5,73,23
2020-04-19,BCS,193,20,235,-78,581,58,7,1,0,0,6,0,37,154,128,3,54,16
2020-04-20,BCS,205,12,197,-38,604,23,7,0,0,0,6,0,34,122,122,3,39,11
2020-04-21,BCS,228,23,85,-112,665,61,9,2,0,0,6,0,43,69,140,2,27,14
2020-04-22,BCS,240,12,58,-27,709,44,10,1,0,0,8,2,45,42,148,2,7,16
2020-04-23,BCS,241,1,42,-16,720,11,11,1,0,0,8,0,39,26,127,1,1,13
2020-04-24,BCS,247,6,17,-25,730,10,11,0,0,0,8,0,33,8,108,1,4,13
2020-04-25,BCS,266,19,11,-6,757,27,12,1,0,0,8,0,37,6,115,4,4,12
2020-04-26,BCS,284,18,18,7,784,27,12,0,0,0,8,0,45,14,118,6,12,11
2020-04-27,BCS,285,1,49,31,786,2,13,1,0,0,8,0,39,45,99,1,37,5
2020-04-28,BCS,292,7,71,22,799,13,14,1,0,0,8,0,38,71,88,3,56,4
2020-04-29,BCS,301,9,90,19,802,3,16,2,0,0,8,0,41,88,78,6,53,3
2020-04-30,BCS,308,7,90,0,830,28,16,0,0,0,9,1,42,87,87,6,48,9
2020-05-01,BCS,322,14,69,-21,859,29,18,2,0,0,9,0,44,64,93,6,34,18
2020-05-02,BCS,330,8,47,-22,887,28,18,0,0,0,9,0,43,44,104,5,18,21
2020-05-03,BCS,339,9,44,-3,898,11,18,0,0,0,9,0,48,41,101,3,21,16
2020-05-04,BCS,344,5,53,9,902,4,18,0,0,0,9,0,40,47,94,3,28,6
2020-05-05,BCS,351,7,49,-4,921,19,18,0,0,0,9,0,47,42,103,5,33,13
2020-05-06,BCS,358,7,65,16,933,12,18,0,0,0,10,1,43,56,100,8,41,20
2020-05-07,BCS,368,10,82,17,943,10,20,2,0,0,12,2,44,74,94,9,47,23
2020-05-08,BCS,373,5,79,-3,964,21,22,2,0,0,12,0,39,70,103,6,37,31
2020-05-09,BCS,379,6,85,6,974,10,22,0,0,0,12,0,37,80,97,12,38,27
2020-05-10,BCS,387,8,49,-36,1014,40,22,0,0,0,12,0,40,47,125,10,19,40
2020-05-11,BCS,398,11,38,-11,1034,20,22,0,0,0,12,0,45,36,131,9,24,32
2020-05-12,BCS,401,3,82,44,1049,15,24,2,0,0,12,0,47,77,138,3,49,16
2020-05-13,BCS,409,8,86,4,1063,14,24,0,0,0,12,0,49,83,143,4,52,20
2020-05-14,BCS,420,11,88,2,1085,22,25,1,1,1,12,0,52,77,143,7,38,25
2020-05-15,BCS,439,19,71,-17,1106,21,26,1,1,0,13,1,53,61,147,8,39,22
2020-05-16,BCS,445,6,82,11,1120,14,26,0,2,1,13,0,54,74,143,7,50,19
2020-05-17,BCS,459,14,66,-16,1139,19,26,0,2,0,13,0,61,58,148,11,33,25
2020-05-18,BCS,462,3,69,3,1145,6,26,0,2,0,13,0,58,58,134,10,32,20
2020-05-19,BCS,469,7,77,8,1157,12,27,1,3,1,14,1,48,63,106,8,32,21
2020-05-21,BCS,502,33,98,21,1174,17,29,2,2,-1,14,0,67,79,94,13,51,16
2020-05-22,BCS,504,2,130,32,1183,9,31,2,2,0,14,0,61,109,86,9,71,14
2020-05-23,BCS,521,17,112,-18,1227,44,31,0,2,0,14,0,74,90,115,19,57,33
2020-05-24,BCS,533,12,94,-18,1266,39,31,0,1,-1,15,1,76,71,140,16,41,62
2020-05-25,BCS,541,8,81,-13,1299,33,32,1,1,0,15,0,79,56,161,9,30,68
2020-05-26,BCS,549,8,116,35,1313,14,32,0,1,0,15,0,77,83,163,10,54,54
2020-05-27,BCS,557,8,158,42,1328,15,33,1,1,0,15,0,72,125,166,8,80,41
