Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,NAY,24,0,39,0,167,0,4,0,1,0,3,0,14,26,57,2,13,11
2020-04-13,NAY,27,3,45,6,173,6,4,0,0,-1,4,1,17,30,53,4,13,8
2020-04-14,NAY,28,1,48,3,179,6,4,0,0,0,4,0,15,32,56,3,20,9
2020-04-15,NAY,29,1,56,8,182,3,5,1,0,0,5,1,14,39,52,2,23,7
2020-04-16,NAY,31,2,57,1,192,10,5,0,0,0,5,0,13,43,51,4,24,13
2020-04-17,NAY,35,4,57,0,200,8,5,0,0,0,5,0,16,42,58,3,21,12
2020-04-18,NAY,37,2,50,-7,205,5,5,0,0,0,5,0,16,34,60,4,19,11
2020-04-19,NAY,39,2,41,-9,212,7,5,0,0,0,5,0,15,23,59,5,10,12
2020-04-20,NAY,41,2,39,-2,223,11,5,0,0,0,5,0,15,22,58,3,13,13
2020-04-21,NAY,45,4,18,-21,236,13,5,0,1,1,5,0,17,17,65,4,7,15
2020-04-22,NAY,47,2,18,0,254,18,6,1,0,-1,6,1,17,16,67,5,10,13
2020-04-23,NAY,54,7,12,-6,273,19,7,1,0,0,7,1,20,11,81,5,7,23
2020-04-24,NAY,56,2,12,0,291,18,7,0,0,0,7,0,18,11,83,1,8,29
2020-04-25,NAY,59,3,35,23,294,3,7,0,0,0,7,0,21,35,80,1,29,20
2020-04-26,NAY,63,4,46,11,305,11,7,0,0,0,8,1,24,45,85,2,42,15
2020-04-27,NAY,64,1,62,16,310,5,7,0,0,0,8,0,22,61,82,2,55,11
2020-04-28,NAY,67,3,98,36,321,11,11,4,0,0,10,2,22,97,84,4,84,16
2020-04-29,NAY,72,5,89,-9,345,24,12,1,0,0,10,0,26,86,96,4,70,33
2020-04-30,NAY,93,21,55,-34,398,53,12,0,0,0,10,0,45,52,144,17,41,59
2020-05-01,NAY,96,3,69,14,408,10,12,0,0,0,11,1,39,65,143,10,55,39
2020-05-02,NAY,106,10,64,-5,421,13,12,0,0,0,11,0,46,60,144,14,42,31
2020-05-03,NAY,115,9,80,16,437,16,12,0,0,0,11,0,52,75,144,10,60,25
2020-05-04,NAY,124,9,78,-2,452,15,13,1,1,1,11,0,57,77,147,13,67,22
2020-05-05,NAY,133,9,99,21,462,10,16,3,0,-1,11,0,65,99,149,18,83,23
2020-05-06,NAY,151,18,106,7,478,16,19,3,0,0,12,1,78,105,150,16,92,18
2020-05-07,NAY,179,28,98,-8,513,35,19,0,0,0,12,0,99,97,164,25,90,31
2020-05-08,NAY,206,27,84,-14,541,28,21,2,0,0,12,0,114,82,163,34,71,44
2020-05-09,NAY,211,5,86,2,565,24,20,-1,1,1,12,0,110,86,161,20,72,46
2020-05-10,NAY,220,9,65,-21,589,24,21,1,0,-1,12,0,111,65,164,20,47,48
2020-05-11,NAY,238,18,46,-19,611,22,21,0,0,0,13,1,122,45,170,15,30,42
2020-05-12,NAY,247,9,69,23,625,14,23,2,0,0,14,1,121,67,177,17,51,31
2020-05-13,NAY,252,5,90,21,639,14,24,1,0,0,16,2,110,86,171,9,72,27
2020-05-14,NAY,275,23,88,-2,668,29,24,0,1,1,16,0,115,85,180,24,67,37
2020-05-15,NAY,287,12,83,-5,699,31,25,1,1,0,15,-1,109,80,190,22,66,48
2020-05-16,NAY,307,20,79,-4,714,15,28,3,0,-1,17,2,112,74,187,28,56,47
2020-05-17,NAY,316,9,82,3,732,18,29,1,0,0,17,0,108,76,182,23,58,39
2020-05-18,NAY,324,8,61,-21,765,33,30,1,0,0,17,0,100,50,186,19,36,48
2020-05-19,NAY,335,11,84,23,789,24,33,3,1,1,19,2,105,74,179,13,59,51
