Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,SIN,228,0,217,0,655,0,24,0,3,0,9,0,111,134,226,16,51,27
2020-04-13,SIN,244,16,230,13,700,45,28,4,3,0,9,0,112,144,233,18,62,31
2020-04-14,SIN,260,16,294,64,715,15,34,6,8,5,12,3,107,209,202,18,100,19
2020-04-15,SIN,291,31,325,31,757,42,38,4,8,0,12,0,120,235,205,21,125,28
2020-04-16,SIN,326,35,323,-2,797,40,40,2,8,0,12,0,136,239,198,29,126,31
2020-04-17,SIN,372,46,346,23,780,-17,43,3,7,-1,13,1,159,254,193,32,127,31
2020-04-18,SIN,411,39,283,-63,811,31,45,2,7,0,14,1,173,197,195,28,82,35
2020-04-19,SIN,457,46,208,-75,858,47,45,0,6,-1,15,1,194,138,213,22,56,33
2020-04-20,SIN,484,27,182,-26,894,36,45,0,5,-1,16,1,190,117,215,18,37,29
2020-04-21,SIN,508,24,161,-21,911,17,52,7,6,1,17,1,185,133,205,9,43,28
2020-04-22,SIN,568,60,153,-8,1004,93,59,7,5,-1,18,1,206,118,202,26,47,19
2020-04-23,SIN,614,46,155,2,1030,26,62,3,3,-2,18,0,220,121,202,34,54,20
2020-04-24,SIN,690,76,161,6,1058,28,92,30,3,0,31,13,244,124,185,45,57,23
2020-04-25,SIN,708,18,224,63,1074,16,98,6,2,-1,32,1,225,187,172,37,111,21
2020-04-26,SIN,747,39,247,23,1086,12,105,7,2,0,32,0,225,220,149,28,130,16
2020-04-27,SIN,795,48,319,72,1108,22,122,17,10,8,38,6,232,280,140,29,147,16
2020-04-28,SIN,803,8,453,134,1135,27,130,8,17,7,39,1,207,407,140,18,214,25
2020-04-29,SIN,821,18,560,107,1149,14,133,3,18,1,42,3,196,508,122,12,270,23
2020-04-30,SIN,865,44,643,83,1177,28,139,6,18,0,43,1,199,573,136,21,275,28
2020-05-01,SIN,1008,143,560,-83,1239,62,159,20,11,-7,44,1,276,509,169,35,265,30
2020-05-02,SIN,1076,68,539,-21,1264,25,163,4,10,-1,44,0,294,493,169,25,254,26
2020-05-03,SIN,1119,43,462,-77,1335,71,170,7,13,3,44,0,287,415,218,30,208,55
2020-05-04,SIN,1161,42,493,31,1377,42,173,3,13,0,44,0,245,433,230,35,217,56
2020-05-05,SIN,1195,34,590,97,1430,53,173,0,13,0,44,0,244,523,261,39,283,73
2020-05-06,SIN,1248,53,635,45,1488,58,180,7,18,5,44,0,251,581,291,25,373,54
2020-05-07,SIN,1312,64,674,39,1571,83,197,17,25,7,47,3,259,631,335,23,395,54
2020-05-08,SIN,1372,60,657,-17,1612,41,204,7,23,-2,48,1,258,603,323,28,303,46
2020-05-09,SIN,1393,21,650,-7,1648,36,207,3,28,5,49,1,216,590,322,29,260,56
2020-05-10,SIN,1470,77,572,-78,1715,67,212,5,26,-2,55,6,252,512,352,26,207,42
2020-05-11,SIN,1516,46,519,-53,1799,84,215,3,26,0,56,1,244,454,392,17,180,25
2020-05-12,SIN,1579,63,514,-5,1902,103,229,14,30,4,61,5,262,450,453,13,184,33
2020-05-13,SIN,1620,41,549,35,1957,55,246,17,25,-5,65,4,256,491,436,17,221,39
2020-05-14,SIN,1716,96,550,1,2040,83,251,5,33,8,70,5,291,491,413,25,243,34
2020-05-15,SIN,1814,98,567,17,2130,90,259,8,34,1,71,1,287,491,395,37,273,48
2020-05-16,SIN,1862,48,623,56,2216,86,280,21,36,2,76,5,296,548,419,34,293,61
2020-05-17,SIN,1927,65,588,-35,2273,57,283,3,44,8,77,1,290,508,402,36,218,45
2020-05-18,SIN,2021,94,514,-74,2367,94,297,14,54,10,82,5,325,429,409,36,179,42
2020-05-19,SIN,2080,59,648,134,2413,46,318,21,60,6,87,5,328,521,385,27,245,29
2020-05-21,SIN,2243,163,804,156,2511,98,351,33,70,10,96,9,364,646,345,32,331,24
2020-05-22,SIN,2328,85,887,83,2604,93,363,12,76,6,100,4,378,721,376,25,318,28
2020-05-23,SIN,2438,110,856,-31,2686,82,377,14,76,0,103,3,416,692,384,26,289,38
2020-05-24,SIN,2587,149,676,-180,2787,101,387,10,55,-21,120,17,457,507,373,30,194,52
2020-05-25,SIN,2794,207,479,-197,2902,115,402,15,50,-5,123,3,557,327,399,55,147,65
2020-05-26,SIN,2813,19,748,269,2903,1,423,21,57,7,126,3,491,569,343,28,259,40
2020-05-27,SIN,2903,90,929,181,2988,85,427,4,60,3,132,6,505,743,366,35,336,46
2020-05-28,SIN,3014,111,1013,84,3056,68,444,17,68,8,133,1,521,815,364,28,403,36
2020-05-29,SIN,3125,111,1109,96,3100,44,456,12,69,1,136,3,472,886,331,36,399,36
2020-05-30,SIN,3261,136,1115,6,3158,58,484,28,63,-6,144,8,490,884,327,34,367,27
2020-05-31,SIN,3421,160,1020,-95,3228,70,497,13,60,-3,147,3,551,782,347,29,290,24
2020-06-01,SIN,3580,159,981,-39,3288,60,517,20,71,11,153,6,593,713,345,31,252,19
2020-06-02,SIN,3699,119,1169,188,3328,40,543,26,75,4,154,1,591,878,320,21,362,14
2020-06-03,SIN,3903,204,1205,36,3365,37,618,75,43,-32,156,2,592,913,283,28,371,13
2020-06-04,SIN,4036,133,1300,95,3477,112,640,22,50,7,163,7,595,998,315,30,413,31
2020-06-05,SIN,4237,201,1386,86,3535,58,667,27,46,-4,164,1,628,1079,307,42,477,31
2020-06-06,SIN,4405,168,1436,50,3575,40,678,11,55,9,165,1,642,1118,282,59,526,28
2020-06-07,SIN,4551,146,1359,-77,3673,98,702,24,55,0,167,2,632,1039,300,46,459,35
2020-06-08,SIN,4762,211,1258,-101,3804,131,726,24,52,-3,171,4,654,927,363,48,348,59
2020-06-09,SIN,4866,104,1511,253,3835,31,768,42,60,8,183,12,613,1160,346,30,489,36
2020-06-10,SIN,5062,196,1637,126,3902,67,794,26,56,-4,187,4,663,1274,344,35,600,21
2020-06-11,SIN,5191,129,1765,128,4000,98,829,35,70,14,190,3,659,1380,365,28,651,20
2020-06-12,SIN,5314,123,1972,207,4075,75,846,17,78,8,194,4,640,1539,372,38,622,26
2020-06-13,SIN,5366,52,2124,152,4108,33,861,15,70,-8,200,6,563,1666,353,10,566,17
2020-06-14,SIN,5635,269,1871,-253,4201,93,872,11,71,1,203,3,650,1423,367,13,484,12
2020-06-15,SIN,5854,219,1854,-17,4255,54,901,29,72,1,207,4,640,1334,317,19,426,9
2020-06-16,SIN,5945,91,2010,156,4345,90,927,26,81,9,209,2,599,1433,324,15,459,14
2020-06-17,SIN,6019,74,2227,217,4400,55,947,20,82,1,214,5,529,1604,282,7,468,1
2020-06-18,SIN,6154,135,2302,75,4460,60,961,14,87,5,218,4,494,1653,265,8,511,4
2020-06-19,SIN,6328,174,2345,43,4552,92,983,22,87,0,223,5,429,1662,239,7,499,5
2020-06-20,SIN,6478,150,2353,8,4610,58,998,15,100,13,223,0,345,1690,192,4,511,3
2020-06-21,SIN,6683,205,2154,-199,4729,119,1012,14,98,-2,225,2,375,1520,224,12,431,18
2020-06-22,SIN,6771,88,2297,143,4736,7,1024,12,96,-2,228,3,288,1574,170,5,330,9
2020-06-23,SIN,7315,544,1836,-461,5020,284,1091,67,87,-9,244,16,549,1266,293,12,394,10
2020-06-24,SIN,7473,158,1895,59,5145,125,1119,28,94,7,248,4,487,1279,305,11,475,15
2020-06-26,SIN,7763,290,2077,182,5295,150,1161,42,99,5,256,8,455,1424,302,21,517,18
2020-06-27,SIN,7801,38,2102,25,5265,-30,1210,49,110,11,257,1,439,1450,288,15,411,14
2020-06-28,SIN,7895,94,2056,-46,5337,72,1228,18,105,-5,260,3,404,1401,282,5,345,9
2020-06-29,SIN,8111,216,1923,-133,5508,171,1250,22,97,-8,266,6,370,1264,303,8,287,21
2020-06-30,SIN,8296,185,1856,-67,5625,117,1292,42,110,13,269,3,414,1174,314,11,329,18
2020-07-01,SIN,8456,160,1858,2,5736,111,1324,32,105,-5,273,4,445,1147,347,8,399,8
2020-07-02,SIN,8613,157,1960,102,5790,54,1349,25,101,-4,274,1,428,1222,323,10,442,2
2020-07-03,SIN,8748,135,2044,84,5874,84,1377,28,96,-5,281,7,413,1321,318,12,454,6
2020-07-04,SIN,8902,154,2014,-30,5942,68,1398,21,93,-3,284,3,354,1234,239,19,425,9
2020-07-05,SIN,8961,59,2049,35,5965,23,1407,9,103,10,286,2,303,1244,198,11,346,6
2020-07-06,SIN,9163,202,1900,-149,6130,165,1428,21,101,-2,289,3,368,1106,243,8,334,7
2020-07-07,SIN,9333,170,1834,-66,6332,202,1471,43,107,6,300,11,412,1086,331,13,372,21
2020-07-08,SIN,9526,193,1817,-17,6453,121,1502,31,101,-6,308,8,464,1086,368,14,401,18
