Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,CHP,43,0,52,0,231,0,3,0,1,0,3,0,16,24,89,2,6,17
2020-04-13,CHP,43,0,58,6,235,4,3,0,1,0,3,0,15,26,73,1,11,11
2020-04-14,CHP,45,2,72,14,248,13,3,0,0,-1,4,1,15,42,65,2,26,11
2020-04-15,CHP,49,4,76,4,263,15,3,0,0,0,4,0,17,46,65,1,25,9
2020-04-16,CHP,55,6,61,-15,291,28,3,0,0,0,4,0,21,35,80,2,23,15
2020-04-17,CHP,60,5,68,7,278,-13,3,0,2,2,3,-1,23,43,73,5,29,19
2020-04-18,CHP,64,4,57,-11,294,16,3,0,2,0,3,0,22,34,82,2,23,20
2020-04-19,CHP,70,6,44,-13,308,14,3,0,2,0,4,1,27,25,91,4,14,24
2020-04-20,CHP,71,1,47,3,315,7,3,0,3,1,4,0,26,29,91,3,12,19
2020-04-21,CHP,79,8,37,-10,324,9,4,1,2,-1,4,0,28,32,91,5,19,13
2020-04-22,CHP,87,8,57,20,343,19,4,0,1,-1,4,0,32,52,87,6,30,16
2020-04-23,CHP,99,12,52,-5,357,14,5,1,1,0,4,0,42,47,90,5,25,19
2020-04-24,CHP,104,5,46,-6,378,21,6,1,1,0,4,0,45,39,102,5,25,23
2020-04-25,CHP,118,14,45,-1,406,28,6,0,2,1,5,1,54,39,117,11,19,34
2020-04-26,CHP,122,4,50,5,424,18,6,0,2,0,8,3,54,43,125,7,27,31
2020-04-27,CHP,132,10,58,8,443,19,6,0,1,-1,9,1,58,47,128,2,30,19
2020-04-28,CHP,141,9,77,19,464,21,6,0,1,0,9,0,62,70,133,8,42,23
2020-04-29,CHP,165,24,69,-8,486,22,7,1,1,0,11,2,78,62,136,13,38,28
2020-04-30,CHP,177,12,72,3,505,19,7,0,1,0,11,0,74,65,143,11,35,30
2020-05-01,CHP,193,16,70,-2,524,19,7,0,1,0,11,0,85,67,142,13,48,29
2020-05-02,CHP,216,23,48,-22,547,23,9,2,0,-1,12,1,98,47,148,19,30,35
2020-05-03,CHP,227,11,30,-18,568,21,9,0,0,0,12,0,102,28,152,15,16,43
2020-05-04,CHP,231,4,40,10,575,7,11,2,0,0,13,1,87,38,135,10,28,23
2020-05-05,CHP,241,10,110,70,573,-2,12,1,0,0,12,-1,92,105,119,8,86,9
2020-05-06,CHP,263,22,136,26,592,19,12,0,0,0,13,1,101,133,124,17,98,20
2020-05-07,CHP,291,28,146,10,615,23,12,0,0,0,13,0,114,144,122,19,92,26
2020-05-08,CHP,330,39,150,4,635,20,17,5,2,2,15,2,143,148,124,28,82,25
2020-05-09,CHP,367,37,105,-45,702,67,19,2,0,-2,17,2,159,104,176,29,67,55
2020-05-10,CHP,394,27,88,-17,726,24,19,0,0,0,17,0,173,87,187,32,43,47
2020-05-11,CHP,419,25,66,-22,750,24,20,1,2,2,17,0,184,65,182,31,27,40
2020-05-12,CHP,433,14,126,60,773,23,25,5,1,-1,18,1,174,123,183,14,76,24
2020-05-13,CHP,450,17,147,21,804,31,31,6,0,-1,18,0,169,141,203,16,91,23
2020-05-14,CHP,502,52,158,11,833,29,35,4,5,5,18,0,195,148,208,38,108,28
2020-05-15,CHP,533,31,222,64,849,16,39,4,6,1,18,0,201,206,192,38,138,24
2020-05-16,CHP,600,67,233,11,874,25,44,5,6,0,18,0,237,216,205,53,133,30
2020-05-17,CHP,653,53,221,-12,904,30,44,0,6,0,18,0,267,204,195,46,111,31
2020-05-18,CHP,688,35,221,0,922,18,44,0,6,0,19,1,273,197,189,42,99,23
2020-05-19,CHP,737,49,266,45,954,32,45,1,5,-1,20,1,287,231,188,32,135,32
2020-05-21,CHP,895,158,277,11,1026,72,65,20,5,0,21,1,390,239,206,51,150,39
2020-05-22,CHP,971,76,307,30,1067,41,69,4,5,0,23,2,419,263,224,59,165,35
2020-05-23,CHP,1050,79,325,18,1101,34,70,1,8,3,23,0,439,274,235,59,165,46
2020-05-24,CHP,1164,114,234,-91,1150,49,73,3,5,-3,24,1,490,174,249,100,86,53
2020-05-25,CHP,1224,60,265,31,1170,20,76,3,6,1,26,2,493,198,244,62,114,45
2020-05-26,CHP,1289,65,375,110,1185,15,88,12,8,2,27,1,497,300,238,52,189,36
2020-05-27,CHP,1402,113,384,9,1220,35,106,18,5,-3,29,2,535,337,230,70,214,26
2020-05-28,CHP,1471,69,476,92,1250,30,121,15,8,3,30,1,545,419,229,69,258,26
2020-05-29,CHP,1566,95,548,72,1272,22,131,10,6,-2,31,1,563,487,213,69,311,25
2020-05-30,CHP,1711,145,493,-55,1312,40,137,6,10,4,31,0,625,421,224,76,246,33
2020-05-31,CHP,1869,158,382,-111,1352,40,141,4,8,-2,31,0,724,306,228,113,146,34
2020-06-01,CHP,1928,59,414,32,1384,32,143,2,13,5,31,0,664,338,228,75,158,28
