Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,TLA,40,0,85,0,259,0,2,0,0,0,4,0,23,57,111,2,32,30
2020-04-13,TLA,47,7,79,-6,280,21,2,0,0,0,4,0,26,49,109,5,31,33
2020-04-14,TLA,49,2,146,67,290,10,4,2,1,1,4,0,25,116,108,3,92,21
2020-04-15,TLA,55,6,92,-54,360,70,4,0,0,-1,5,1,27,59,159,6,36,77
2020-04-16,TLA,58,3,92,0,375,15,4,0,0,0,5,0,25,55,164,6,31,77
2020-04-17,TLA,62,4,93,1,399,24,4,0,0,0,6,1,24,60,184,3,41,84
2020-04-18,TLA,67,5,87,-6,416,17,4,0,0,0,6,0,20,57,185,4,39,83
2020-04-19,TLA,71,4,64,-23,438,22,4,0,0,0,6,0,23,39,193,5,23,82
2020-04-20,TLA,73,2,67,3,446,8,4,0,0,0,6,0,23,42,188,7,25,46
2020-04-21,TLA,78,5,51,-16,458,12,5,1,0,0,6,0,23,44,177,6,23,26
2020-04-22,TLA,92,14,44,-7,486,28,9,4,0,0,6,0,29,37,183,6,26,26
2020-04-23,TLA,101,9,33,-11,520,34,9,0,0,0,6,0,37,24,198,6,18,35
2020-04-24,TLA,112,11,43,10,529,9,12,3,0,0,8,2,35,37,191,5,31,29
2020-04-25,TLA,127,15,49,6,551,22,12,0,0,0,8,0,47,43,191,9,33,40
2020-04-26,TLA,134,7,77,28,561,10,12,0,0,0,8,0,52,73,181,9,50,40
2020-04-27,TLA,139,5,93,16,574,13,14,2,2,2,9,1,51,87,143,10,48,38
2020-04-28,TLA,159,20,121,28,611,37,16,2,0,-2,9,0,61,112,146,13,71,40
2020-04-29,TLA,179,20,104,-17,654,43,18,2,0,0,10,1,72,97,168,16,58,61
2020-04-30,TLA,193,14,123,19,674,20,22,4,0,0,10,0,75,116,174,19,66,59
2020-05-01,TLA,217,24,95,-28,706,32,22,0,0,0,10,0,88,90,188,16,65,65
2020-05-02,TLA,229,12,50,-45,754,48,22,0,0,0,10,0,92,45,225,19,25,79
2020-05-03,TLA,238,9,73,23,763,9,22,0,0,0,10,0,92,67,216,14,46,62
2020-05-04,TLA,250,12,88,15,774,11,25,3,0,0,10,0,82,84,198,9,57,44
2020-05-05,TLA,261,11,92,4,806,32,29,4,0,0,11,1,77,88,204,12,57,51
2020-05-06,TLA,280,19,108,16,821,15,35,6,0,0,11,0,87,105,201,15,74,45
2020-05-07,TLA,304,24,81,-27,870,49,42,7,3,3,12,1,101,80,232,18,51,54
2020-05-08,TLA,324,20,91,10,899,29,49,7,1,-2,14,2,106,88,242,25,57,51
2020-05-09,TLA,353,29,67,-24,946,47,52,3,1,0,15,1,124,63,258,30,45,71
2020-05-10,TLA,358,5,95,28,950,4,53,1,1,0,15,0,112,91,235,22,65,62
2020-05-11,TLA,386,28,73,-22,987,37,56,3,0,-1,16,1,121,66,235,31,44,75
2020-05-12,TLA,398,12,109,36,1012,25,66,10,1,1,17,1,129,98,231,33,70,60
2020-05-13,TLA,438,40,124,15,1049,37,72,6,1,0,17,0,147,118,243,36,83,78
2020-05-14,TLA,475,37,116,-8,1101,52,79,7,0,-1,19,2,162,108,262,40,63,93
2020-05-15,TLA,509,34,139,23,1155,54,83,4,1,1,19,0,178,129,287,35,93,110
2020-05-16,TLA,529,20,138,-1,1200,45,86,3,0,-1,19,0,184,124,311,37,83,121
2020-05-17,TLA,551,22,117,-21,1255,55,88,2,2,2,19,0,188,99,342,30,60,113
2020-05-18,TLA,569,18,142,25,1280,25,96,8,2,0,19,0,180,123,341,22,76,92
