Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,NLE,119,0,1535,0,1569,0,4,0,0,0,2,0,29,1366,348,5,975,37
2020-04-13,NLE,127,8,1711,176,1593,24,4,0,0,0,2,0,34,1498,312,3,974,21
2020-04-14,NLE,131,4,1905,194,1648,55,4,0,0,0,2,0,33,1669,295,5,957,6
2020-04-15,NLE,145,14,1992,87,1820,172,4,0,0,0,2,0,39,1704,378,2,919,23
2020-04-16,NLE,156,11,2079,87,2072,252,4,0,0,0,2,0,42,1791,536,8,948,9
2020-04-17,NLE,156,0,2225,146,2082,10,4,0,1,1,2,0,34,1938,509,5,872,5
2020-04-18,NLE,169,13,2167,-58,2179,97,5,1,1,0,2,0,42,1876,540,1,703,21
2020-04-19,NLE,174,5,2175,8,2184,5,5,0,0,-1,3,1,40,1832,453,2,550,22
2020-04-20,NLE,193,19,2120,-55,2293,109,5,0,0,0,3,0,50,1694,439,3,359,42
2020-04-21,NLE,194,1,1874,-246,2414,121,5,0,2,2,3,0,40,1543,367,1,321,20
2020-04-22,NLE,211,17,1554,-320,2743,329,5,0,2,0,7,4,48,1260,428,2,198,49
2020-04-23,NLE,249,38,1296,-258,3071,328,6,1,1,-1,7,0,71,974,510,10,125,71
2020-04-24,NLE,260,11,1133,-163,3300,229,8,2,0,-1,9,2,60,804,483,11,100,72
2020-04-25,NLE,271,11,848,-285,3640,340,8,0,1,1,9,0,59,647,490,14,81,109
2020-04-26,NLE,276,5,452,-396,4126,486,8,0,1,0,9,0,58,322,749,12,120,124
2020-04-27,NLE,284,8,400,-52,4324,198,9,1,0,-1,10,1,53,284,726,11,174,136
2020-04-28,NLE,299,15,420,20,4505,181,11,2,0,0,11,1,51,365,740,8,275,153
2020-04-29,NLE,313,14,474,54,4668,163,12,1,0,0,11,0,57,455,695,11,356,195
2020-04-30,NLE,334,21,570,96,4781,113,15,3,1,1,13,2,70,549,682,21,422,207
2020-05-01,NLE,366,32,558,-12,4940,159,16,1,1,0,14,1,94,541,748,34,394,226
2020-05-02,NLE,406,40,524,-34,5064,124,18,2,1,0,14,0,122,503,811,43,344,185
2020-05-03,NLE,418,12,382,-142,5295,231,19,1,1,0,14,0,126,361,965,39,251,213
2020-05-04,NLE,442,24,379,-3,5487,192,22,3,1,0,14,0,138,348,1058,34,262,219
2020-05-05,NLE,469,27,570,191,5526,39,24,2,1,0,16,2,159,534,1024,38,431,152
2020-05-06,NLE,511,42,627,57,5722,196,27,3,1,0,32,16,186,601,1129,64,500,208
2020-05-07,NLE,566,55,539,-88,5958,236,31,4,2,1,33,1,229,506,1263,102,394,350
2020-05-08,NLE,601,35,502,-37,6149,191,32,1,1,-1,33,0,249,476,1311,96,347,353
2020-05-09,NLE,607,6,571,69,6233,84,32,0,1,0,33,0,237,549,1203,84,396,323
2020-05-10,NLE,641,34,645,74,6325,92,32,0,1,0,33,0,248,624,1137,103,443,284
2020-05-11,NLE,664,23,710,65,6499,174,32,0,0,-1,34,1,239,685,1146,98,536,269
2020-05-12,NLE,687,23,539,-171,6895,396,35,3,0,0,34,0,247,517,1403,50,376,399
2020-05-13,NLE,717,30,638,99,7063,168,38,3,0,0,34,0,262,622,1451,61,464,448
2020-05-14,NLE,755,38,803,165,7270,207,41,3,0,0,34,0,278,784,1558,78,607,458
2020-05-15,NLE,776,21,1040,237,7334,64,48,7,0,0,35,1,265,1005,1408,58,812,318
2020-05-16,NLE,791,15,1221,181,7319,-15,48,0,0,0,35,0,264,1179,1289,51,941,229
2020-05-17,NLE,860,69,1173,-48,7513,194,48,0,0,0,35,0,317,1097,1339,86,788,275
2020-05-18,NLE,876,16,1257,84,7591,78,48,0,0,0,38,3,306,1161,1254,71,726,243
2020-05-19,NLE,957,81,1483,226,7613,22,54,6,1,1,50,12,309,1361,1063,87,762,162
2020-05-21,NLE,1036,79,1849,366,7926,313,58,4,1,0,53,3,333,1673,1081,62,895,228
2020-05-22,NLE,1089,53,1880,31,8270,344,62,4,1,0,54,1,339,1736,1181,75,1058,224
2020-05-23,NLE,1120,31,1998,118,8499,229,62,0,1,0,58,4,339,1856,1229,80,1208,226
2020-05-24,NLE,1149,29,2068,70,8643,144,62,0,1,0,61,3,331,1879,1163,79,1221,197
2020-05-25,NLE,1168,19,2075,7,8903,260,68,6,1,0,61,0,301,1874,1198,59,1182,152
2020-05-26,NLE,1222,54,2092,17,9256,353,72,4,2,1,66,5,308,1863,1277,55,1204,171
2020-05-27,NLE,1288,66,2188,96,9628,372,77,5,2,0,68,2,313,1956,1408,67,1392,152
2020-05-28,NLE,1324,36,2477,289,9894,266,82,5,2,0,68,0,310,2227,1469,74,1609,199
2020-05-29,NLE,1361,37,2703,226,10293,399,86,4,2,0,69,1,301,2437,1657,84,1846,229
2020-05-30,NLE,1372,11,2962,259,10482,189,88,2,4,2,71,2,288,2684,1676,68,1934,215
2020-05-31,NLE,1419,47,3112,150,10504,22,90,2,3,-1,71,0,302,2812,1490,64,1791,202
2020-06-01,NLE,1481,62,3065,-47,10684,180,98,8,3,0,72,1,309,2844,1251,50,1546,182
2020-06-02,NLE,1523,42,3242,177,10890,206,101,3,4,1,74,2,302,2983,1152,39,1479,167
2020-06-03,NLE,1626,103,3418,176,10985,95,105,4,3,-1,74,0,376,3121,987,59,1450,129
2020-06-04,NLE,1725,99,3781,363,11125,140,107,2,2,-1,77,3,440,3447,871,94,1573,140
2020-06-05,NLE,1758,33,4121,340,11293,168,111,4,2,0,79,2,428,3733,785,89,1681,192
2020-06-06,NLE,1798,40,4363,242,11484,191,128,17,3,1,85,6,392,3886,754,92,1826,195
2020-06-07,NLE,1915,117,4379,16,11667,183,132,4,0,-3,87,2,456,3766,762,123,1786,192
2020-06-08,NLE,1967,52,4020,-359,12330,663,132,0,0,0,88,1,425,3458,964,96,1658,181
2020-06-09,NLE,2010,43,3987,-33,12923,593,133,1,0,0,89,1,401,3472,1084,91,1771,234
2020-06-10,NLE,2121,111,4000,13,13326,403,138,5,0,0,95,6,448,3555,1045,106,1715,277
2020-06-11,NLE,2222,101,4274,274,13625,299,154,16,3,3,106,11,505,3837,988,103,1781,360
2020-06-12,NLE,2333,111,3948,-326,14402,777,158,4,4,1,131,25,561,3567,1448,93,1928,407
2020-06-13,NLE,2456,123,3798,-150,14961,559,167,9,3,-1,130,-1,630,3336,1820,124,2025,406
2020-06-14,NLE,2546,90,3293,-505,15755,794,167,0,3,0,130,0,662,2710,2459,135,1812,633
2020-06-15,NLE,2884,338,2983,-310,16116,361,183,16,5,2,149,19,882,2252,2524,191,1552,556
2020-06-16,NLE,2991,107,2921,-62,16745,629,191,8,6,1,164,15,916,2531,2439,185,1757,412
2020-06-17,NLE,3245,254,2853,-68,17262,517,199,8,6,0,166,2,1053,2485,2536,194,1730,382
2020-06-18,NLE,3400,155,2800,-53,17396,134,218,19,6,0,166,0,1092,2414,2264,172,1604,262
2020-06-19,NLE,3478,78,3018,218,17696,300,231,13,6,0,167,1,1025,2591,2286,134,1653,278
2020-06-20,NLE,3634,156,2943,-75,18031,335,238,7,5,-1,170,3,1053,2478,2328,145,1509,321
2020-06-21,NLE,3750,116,2976,33,18172,141,243,5,5,0,170,0,1037,2498,2238,143,1396,285
