Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,TAM,56,0,129,0,391,0,3,0,2,0,10,0,31,89,188,0,49,60
2020-04-13,TAM,57,1,136,7,422,31,3,0,2,0,12,2,25,95,196,2,57,62
2020-04-14,TAM,59,2,180,44,447,25,3,0,4,2,12,0,23,136,199,3,77,67
2020-04-15,TAM,64,5,217,37,494,47,4,1,7,3,12,0,24,161,220,6,95,101
2020-04-16,TAM,82,18,225,8,590,96,4,0,5,-2,14,2,37,170,288,14,122,152
2020-04-17,TAM,95,13,241,16,623,33,5,1,5,0,14,0,44,207,312,21,160,155
2020-04-18,TAM,119,24,224,-17,708,85,5,0,4,-1,16,2,60,189,376,39,134,226
2020-04-19,TAM,128,9,141,-83,810,102,5,0,4,0,16,0,68,106,450,41,54,284
2020-04-20,TAM,134,6,175,34,834,24,5,0,4,0,16,0,73,145,444,33,86,228
2020-04-21,TAM,145,11,158,-17,907,73,7,2,3,-1,16,0,80,133,485,34,75,244
2020-04-22,TAM,165,20,151,-7,1026,119,8,1,0,-3,22,6,98,130,544,41,72,228
2020-04-23,TAM,190,25,158,7,1119,93,9,1,0,0,23,1,117,144,607,43,81,220
2020-04-24,TAM,204,14,194,36,1214,95,10,1,0,0,24,1,126,176,654,37,111,240
2020-04-25,TAM,216,12,249,55,1243,29,11,1,2,2,25,1,130,228,662,33,153,194
2020-04-26,TAM,261,45,158,-91,1418,175,11,0,1,-1,27,2,162,133,804,64,72,303
2020-04-27,TAM,287,26,206,48,1476,58,12,1,1,0,29,2,167,175,766,72,119,266
2020-04-28,TAM,295,8,266,60,1553,77,15,3,3,2,30,1,164,224,778,66,158,275
2020-04-29,TAM,308,13,259,-7,1705,152,18,3,1,-2,33,3,168,227,830,65,167,354
2020-04-30,TAM,315,7,346,87,1782,77,18,0,2,1,33,0,158,308,831,46,240,346
2020-05-01,TAM,338,23,330,-16,1917,135,20,2,0,-2,35,2,161,303,894,56,239,401
2020-05-02,TAM,362,24,359,29,1980,63,21,1,0,0,35,0,160,327,879,45,238,399
2020-05-03,TAM,380,18,264,-95,2105,125,22,1,1,1,35,0,169,236,957,38,146,431
2020-05-04,TAM,388,8,319,55,2141,36,23,1,1,0,37,2,154,283,899,23,170,324
2020-05-05,TAM,396,8,372,53,2201,60,25,2,2,1,38,1,142,329,886,16,194,266
2020-05-06,TAM,415,19,478,106,2212,11,26,1,1,-1,40,2,149,430,840,16,270,188
2020-05-07,TAM,440,25,489,11,2332,120,27,1,1,0,40,0,146,444,868,27,267,189
2020-05-08,TAM,442,2,558,69,2326,-6,30,3,2,1,40,0,137,512,827,16,305,165
2020-05-09,TAM,708,266,441,-117,2452,126,36,6,1,-1,41,1,215,412,870,48,226,215
2020-05-10,TAM,737,29,260,-181,2670,218,37,1,0,-1,42,1,213,232,992,50,96,298
2020-05-11,TAM,756,19,254,-6,2723,53,44,7,1,1,41,-1,193,217,883,46,108,233
2020-05-12,TAM,788,32,289,35,2841,118,46,2,1,0,42,1,188,256,857,39,155,233
2020-05-13,TAM,799,11,381,92,2919,78,48,2,2,1,43,1,172,347,827,30,233,214
2020-05-14,TAM,864,65,501,120,2959,40,50,2,2,0,43,0,219,465,740,40,354,190
2020-05-15,TAM,890,26,566,65,3150,191,53,3,1,-1,42,-1,206,519,836,46,418,307
2020-05-16,TAM,919,29,658,92,3276,126,58,5,1,0,43,1,210,611,892,52,495,383
2020-05-17,TAM,939,20,584,-74,3434,158,58,0,1,0,43,0,211,530,972,52,368,472
2020-05-18,TAM,993,54,546,-38,3541,107,58,0,2,1,43,0,219,479,976,63,298,478
2020-05-19,TAM,1058,65,677,131,3723,182,65,7,6,4,44,1,246,595,1069,65,460,507
2020-05-21,TAM,1105,47,979,302,4017,294,70,5,5,-1,50,6,238,889,1200,55,691,373
2020-05-22,TAM,1126,21,1111,132,4140,123,73,3,4,-1,54,4,239,1015,1246,34,751,312
2020-05-23,TAM,1183,57,1110,-1,4312,172,76,3,5,1,55,1,267,1004,1367,43,721,424
2020-05-24,TAM,1212,29,1279,169,4320,8,77,1,6,1,56,1,262,1158,1274,47,846,392
2020-05-25,TAM,1289,77,1486,207,4340,20,80,3,9,3,57,1,298,1355,1178,49,993,270
2020-05-26,TAM,1300,11,1667,181,4456,116,83,3,10,1,61,4,274,1491,1196,33,1011,161
2020-05-27,TAM,1360,60,1467,-200,4889,433,87,4,13,3,67,6,297,1274,1426,43,736,406
2020-05-28,TAM,1441,81,1495,28,5103,214,88,1,14,1,68,1,324,1280,1385,61,775,451
2020-05-29,TAM,1504,63,1571,76,5274,171,94,6,15,1,72,4,321,1350,1317,72,801,394
2020-05-30,TAM,1554,50,1671,100,5341,67,99,5,13,-2,76,4,331,1434,1301,81,799,338
2020-05-31,TAM,1557,3,1916,245,5345,4,100,1,14,1,76,0,303,1639,1255,58,933,249
2020-06-01,TAM,1646,89,2117,201,5403,58,101,1,15,1,76,0,323,1781,1124,54,1054,121
2020-06-02,TAM,1730,84,2347,230,5502,99,107,6,14,-1,78,2,338,1935,959,56,1247,40
2020-06-03,TAM,1793,63,2374,27,5820,318,117,10,15,1,80,2,332,1938,1045,36,1289,109
2020-06-04,TAM,1848,55,2427,53,6081,261,120,3,14,-1,85,5,323,2008,1134,23,1453,55
2020-06-05,TAM,1952,104,2324,-103,6403,322,130,10,13,-1,96,11,363,1881,1216,46,1320,196
2020-06-06,TAM,2077,125,2094,-230,6761,358,138,8,12,-1,96,0,403,1657,1376,44,1225,249
2020-06-07,TAM,2179,102,1716,-378,7193,432,145,7,11,-1,97,1,435,1281,1643,68,882,429
2020-06-08,TAM,2305,126,1446,-270,7593,400,147,2,11,0,100,3,443,1024,1788,71,701,476
2020-06-09,TAM,2395,90,1488,42,7852,259,154,7,10,-1,101,1,458,1077,1828,67,758,426
2020-06-10,TAM,2506,111,1601,113,8049,197,162,8,11,1,102,1,467,1189,1807,68,874,350
2020-06-11,TAM,2582,76,1842,241,8155,106,168,6,10,-1,107,5,463,1417,1729,67,1064,251
2020-06-12,TAM,2811,229,1861,19,8401,246,175,7,10,0,111,4,576,1447,1797,120,1140,255
2020-06-13,TAM,2968,157,1939,78,8650,249,186,11,11,1,112,1,621,1538,1830,142,1240,358
2020-06-14,TAM,3076,108,2001,62,8738,88,187,1,14,3,113,1,653,1585,1699,151,1260,354
2020-06-15,TAM,3114,38,2160,159,8733,-5,193,6,12,-2,116,3,571,1745,1493,106,1362,238
