Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,CHH,62,0,137,0,204,0,12,0,6,0,7,0,26,116,46,2,48,5
2020-04-13,CHH,68,6,140,3,229,25,13,1,6,0,9,2,32,114,65,0,53,4
2020-04-14,CHH,70,2,183,43,235,6,16,3,8,2,11,2,26,150,59,0,67,2
2020-04-15,CHH,84,14,204,21,253,18,20,4,10,2,15,4,34,168,61,0,68,7
2020-04-16,CHH,107,23,202,-2,296,43,23,3,11,1,18,3,50,157,92,6,68,15
2020-04-17,CHH,114,7,255,53,284,-12,26,3,14,3,17,-1,44,200,83,5,86,14
2020-04-18,CHH,130,16,217,-38,322,38,30,4,9,-5,21,4,50,170,104,3,76,15
2020-04-19,CHH,146,16,198,-19,333,11,31,1,8,-1,21,0,61,149,102,11,51,12
2020-04-20,CHH,150,4,195,-3,341,8,31,0,8,0,21,0,58,137,95,9,43,7
2020-04-21,CHH,153,3,205,10,347,6,35,4,6,-2,22,1,51,152,91,8,58,6
2020-04-22,CHH,174,21,185,-20,396,49,38,3,5,-1,26,4,61,141,108,6,61,15
2020-04-23,CHH,193,19,167,-18,416,20,41,3,3,-2,31,5,73,128,107,10,58,20
2020-04-24,CHH,212,19,191,24,458,42,45,4,4,1,32,1,77,157,126,11,80,38
2020-04-25,CHH,240,28,234,43,480,22,56,11,6,2,36,4,88,198,131,9,102,36
2020-04-26,CHH,258,18,203,-31,505,25,57,1,5,-1,37,1,98,171,133,15,75,37
2020-04-27,CHH,271,13,234,31,507,2,58,1,6,1,38,1,102,191,119,10,81,24
2020-04-28,CHH,314,43,332,98,531,24,67,9,13,7,43,5,129,284,131,8,143,13
2020-04-29,CHH,325,11,369,37,557,26,69,2,15,2,43,0,115,319,146,7,156,15
2020-04-30,CHH,351,26,418,49,598,41,75,6,13,-2,45,2,124,363,168,10,174,31
2020-05-01,CHH,400,49,405,-13,632,34,82,7,4,-9,49,4,142,357,186,8,176,29
2020-05-02,CHH,452,52,361,-44,669,37,88,6,4,0,49,0,156,317,188,11,134,23
2020-05-03,CHH,512,60,311,-50,712,43,91,3,2,-2,49,0,176,286,199,18,124,24
2020-05-04,CHH,532,20,320,9,739,27,92,1,3,1,48,-1,152,289,188,13,118,15
2020-05-05,CHH,581,49,349,29,782,43,110,18,4,1,51,3,177,312,196,13,133,29
2020-05-06,CHH,600,19,400,51,793,11,116,6,2,-2,53,2,164,371,186,10,171,19
2020-05-07,CHH,617,17,478,78,831,38,116,0,4,2,56,3,156,436,198,7,202,22
2020-05-08,CHH,632,15,514,36,873,42,125,9,9,5,62,6,131,455,210,13,185,39
2020-05-09,CHH,658,26,526,12,890,17,134,9,4,-5,63,1,118,454,186,6,190,25
2020-05-10,CHH,674,16,493,-33,910,20,135,1,4,0,63,0,112,430,175,3,151,21
2020-05-11,CHH,693,19,483,-10,948,38,141,6,4,0,63,0,107,402,171,5,113,29
2020-05-12,CHH,730,37,520,37,990,42,146,5,4,0,65,2,104,438,178,3,138,12
2020-05-13,CHH,768,38,505,-15,1021,31,151,5,7,3,65,0,113,424,184,3,139,11
2020-05-14,CHH,799,31,599,94,1061,40,161,10,12,5,68,3,107,456,189,7,178,12
