Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,BCN,0,0,6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,BCN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,BCN,0,0,7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,BCN,0,0,11,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,BCN,0,0,10,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,BCN,0,0,15,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,BCN,0,0,16,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,BCN,2,2,25,9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,BCN,2,0,35,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,BCN,4,2,45,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,BCN,8,4,36,-9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,BCN,11,3,36,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,BCN,13,2,47,11,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,BCN,13,0,95,48,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,BCN,14,1,116,21,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,BCN,19,5,136,20,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,BCN,20,1,148,12,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,BCN,20,0,140,-8,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,BCN,23,3,152,12,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,BCN,27,4,135,-17,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,BCN,35,8,174,39,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,BCN,37,2,185,11,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,BCN,40,3,213,28,,0,3,3,0,0,0,0,0,0,0,0,0,0
2020-04-03,BCN,52,12,231,18,,0,5,2,0,0,0,0,0,0,0,0,0,0
2020-04-04,BCN,54,2,242,11,333,0,5,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,BCN,69,15,201,-41,360,27,6,1,0,0,0,0,0,0,0,0,0,0
2020-04-06,BCN,111,42,245,44,395,35,7,1,0,0,0,0,0,0,0,0,0,0
2020-04-07,BCN,136,25,345,100,590,195,7,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,BCN,225,89,422,77,713,123,15,8,0,0,0,0,0,0,0,0,0,0
2020-04-09,BCN,239,14,467,45,692,-21,16,1,0,0,0,0,0,0,0,0,0,0
2020-04-10,BCN,258,19,530,63,710,18,17,1,0,0,0,0,0,0,0,0,0,0
2020-04-11,BCN,278,20,548,18,733,23,20,3,0,0,0,0,0,0,0,0,0,0
2020-04-12,BCN,335,57,511,-37,773,40,22,2,9,9,11,11,124,381,111,1,124,1
2020-04-13,BCN,368,33,562,51,805,32,25,3,8,-1,13,2,125,413,114,2,135,4
2020-04-14,BCN,412,44,590,28,855,50,28,3,7,-1,16,3,142,442,125,6,167,6
2020-04-15,BCN,464,52,690,100,887,32,28,0,9,2,16,0,151,531,111,6,226,4
2020-04-16,BCN,505,41,780,90,932,45,31,3,9,0,16,0,146,596,115,22,252,8
2020-04-17,BCN,536,31,918,138,846,-86,33,2,16,7,14,-2,144,701,108,21,248,13
2020-04-18,BCN,610,74,841,-77,869,23,68,35,17,1,17,3,171,614,102,18,200,14
2020-04-19,BCN,680,70,745,-96,912,43,75,7,17,0,18,1,190,531,121,10,133,17
2020-04-20,BCN,741,61,685,-60,957,45,75,0,19,2,19,1,205,474,131,9,101,13
2020-04-21,BCN,915,174,418,-267,1044,87,100,25,9,-10,20,1,295,345,167,11,101,4
2020-04-22,BCN,992,77,381,-37,1150,106,118,18,8,-1,22,2,300,302,175,24,90,10
2020-04-23,BCN,1083,91,356,-25,1174,24,126,8,8,0,26,4,291,294,168,12,107,11
2020-04-24,BCN,1164,81,318,-38,1222,48,146,20,9,1,29,3,261,269,163,9,103,25
2020-04-25,BCN,1206,42,313,-5,1265,43,162,16,10,1,34,5,232,263,166,12,89,27
2020-04-26,BCN,1286,80,281,-32,1298,33,162,0,14,4,35,1,226,235,167,21,57,36
2020-04-27,BCN,1316,30,330,49,1314,16,167,5,20,6,36,1,203,278,148,10,69,14
2020-04-28,BCN,1410,94,494,164,1347,33,186,19,17,-3,37,1,202,428,136,14,152,14
2020-04-29,BCN,1516,106,593,99,1390,43,215,29,9,-8,38,1,227,513,143,14,186,5
2020-04-30,BCN,1577,61,700,107,1411,21,222,7,13,4,45,7,230,603,145,26,202,16
2020-05-01,BCN,1586,9,832,132,1415,4,232,10,23,10,46,1,198,709,119,16,215,10
2020-05-02,BCN,1598,12,888,56,1425,10,235,3,27,4,46,0,171,735,106,12,199,11
2020-05-03,BCN,1676,78,779,-109,1460,35,238,3,32,5,46,0,187,638,117,10,149,9
2020-05-04,BCN,1826,150,697,-82,1472,12,251,13,38,6,49,3,222,551,105,15,148,13
2020-05-05,BCN,2016,190,596,-101,1545,73,289,38,20,-18,57,8,303,507,145,22,195,18
2020-05-06,BCN,2126,110,636,40,1595,50,326,37,20,0,58,1,299,535,148,27,219,19
2020-05-07,BCN,2204,78,739,103,1620,25,344,18,25,5,59,1,310,600,140,28,246,14
2020-05-08,BCN,2304,100,792,53,1681,61,365,21,24,-1,63,4,328,656,158,30,229,20
