Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,SIN,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,SIN,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,SIN,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,SIN,1,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,SIN,1,0,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,SIN,2,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,SIN,2,0,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,SIN,2,0,1,-3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,SIN,2,0,5,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,SIN,3,1,4,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,SIN,3,0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,SIN,3,0,10,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,SIN,4,1,9,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,SIN,4,0,12,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,SIN,4,0,23,11,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,SIN,4,0,46,23,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,SIN,8,4,54,8,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,SIN,9,1,60,6,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,SIN,14,5,84,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,SIN,19,5,88,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,SIN,24,5,77,-11,,0,3,3,0,0,0,0,0,0,0,0,0,0
2020-03-31,SIN,27,3,125,48,,0,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,SIN,32,5,132,7,,0,4,1,0,0,0,0,0,0,0,0,0,0
2020-04-02,SIN,42,10,181,49,,0,4,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,SIN,51,9,234,53,,0,5,1,0,0,0,0,0,0,0,0,0,0
2020-04-04,SIN,74,23,253,19,223,0,10,5,0,0,0,0,0,0,0,0,0,0
2020-04-05,SIN,90,16,248,-5,242,19,12,2,0,0,0,0,0,0,0,0,0,0
2020-04-06,SIN,97,7,271,23,254,12,12,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,SIN,111,14,329,58,314,60,13,1,0,0,0,0,0,0,0,0,0,0
2020-04-08,SIN,125,14,365,36,359,45,13,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,SIN,138,13,390,25,415,56,15,2,0,0,0,0,0,0,0,0,0,0
2020-04-10,SIN,171,33,376,-14,472,57,18,3,0,0,0,0,0,0,0,0,0,0
2020-04-11,SIN,214,43,279,-97,571,99,24,6,0,0,0,0,0,0,0,0,0,0
2020-04-12,SIN,229,15,215,-64,663,92,24,0,3,3,9,9,112,132,227,17,51,27
2020-04-13,SIN,245,16,229,14,708,45,28,4,3,0,9,0,113,143,234,18,63,31
