Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,VER,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,VER,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,VER,0,0,7,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,VER,0,0,8,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,VER,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,VER,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,VER,2,2,20,12,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,VER,2,0,25,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,VER,4,2,30,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,VER,7,3,24,-6,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,VER,7,0,27,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,VER,7,0,28,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,VER,7,0,42,14,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,VER,7,0,69,27,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,VER,7,0,130,61,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,VER,17,10,161,31,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,VER,23,6,171,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,VER,24,1,161,-10,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,VER,26,2,188,27,,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-31,VER,27,1,266,78,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,VER,28,1,305,39,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,VER,29,1,353,48,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,VER,35,6,404,51,,0,2,1,0,0,0,0,0,0,0,0,0,0
2020-04-04,VER,37,2,430,26,249,0,3,1,0,0,0,0,0,0,0,0,0,0
2020-04-05,VER,40,3,404,-26,280,31,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,VER,41,1,412,8,345,65,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,VER,46,5,429,17,596,251,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,VER,49,3,395,-34,645,49,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,VER,54,5,443,48,684,39,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,VER,63,9,406,-37,750,66,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,VER,73,10,419,13,768,18,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,VER,78,5,387,-32,811,43,3,0,2,2,26,26,29,214,215,5,85,30
2020-04-13,VER,82,4,381,-6,874,63,3,0,4,2,28,2,29,194,232,4,93,32
2020-04-14,VER,94,12,418,37,888,14,5,2,5,1,30,2,37,223,203,6,113,18
2020-04-15,VER,106,12,437,19,936,48,6,1,2,-3,31,1,46,231,206,8,130,25
2020-04-16,VER,112,6,466,29,973,37,6,0,3,1,33,2,43,271,204,10,149,31
2020-04-17,VER,121,9,485,19,914,-59,7,1,7,4,32,-1,47,331,172,12,183,24
2020-04-18,VER,124,3,476,-9,920,6,8,1,5,-2,34,2,46,340,153,9,164,17
2020-04-19,VER,146,22,385,-91,1004,84,9,1,4,-1,35,1,61,252,203,10,126,29
2020-04-20,VER,156,10,377,-8,1021,17,12,3,8,4,36,1,64,246,185,7,96,22
2020-04-21,VER,165,9,276,-101,1033,12,13,1,7,-1,35,-1,62,247,165,4,76,16
2020-04-22,VER,195,30,229,-47,1191,158,18,5,4,-3,38,3,78,204,187,6,74,20
2020-04-23,VER,230,35,185,-44,1259,68,21,3,3,-1,39,1,97,172,220,4,89,25
2020-04-24,VER,268,38,172,-13,1326,67,22,1,1,-2,43,4,111,162,241,10,112,23
2020-04-25,VER,299,31,174,2,1379,53,23,1,3,2,43,0,117,161,261,12,99,34
2020-04-26,VER,334,35,183,9,1427,48,25,2,4,1,43,0,128,169,282,20,103,38
2020-04-27,VER,402,68,228,45,1535,108,31,6,6,2,53,10,168,217,339,22,123,48
2020-04-28,VER,438,36,328,100,1592,57,38,7,7,1,55,2,183,316,336,20,180,37
2020-04-29,VER,486,48,399,71,1624,32,42,4,5,-2,58,3,200,387,319,27,229,34
2020-04-30,VER,546,60,430,31,1674,50,52,10,7,2,61,3,234,405,330,42,234,39
2020-05-01,VER,586,40,453,23,1709,35,56,4,9,2,63,2,247,429,310,29,257,28
2020-05-02,VER,641,55,410,-43,1772,63,59,3,7,-2,64,1,261,392,322,29,215,28
2020-05-03,VER,673,32,394,-16,1817,45,64,5,12,5,65,1,267,378,306,27,202,28
2020-05-04,VER,772,99,371,-23,1875,58,68,4,14,2,68,3,295,350,298,32,184,26
2020-05-05,VER,806,34,480,109,1888,13,79,11,17,3,71,3,288,455,259,14,231,14
2020-05-06,VER,839,33,557,77,1919,31,83,4,14,-3,76,5,283,528,246,14,281,14
2020-05-07,VER,926,87,586,29,1964,45,99,16,14,0,78,2,326,553,240,34,276,21
2020-05-08,VER,1013,87,634,48,2004,40,112,13,15,1,82,4,346,602,247,35,299,24
2020-05-09,VER,1114,101,626,-8,2055,51,121,9,17,2,83,1,377,601,242,40,295,18
2020-05-10,VER,1158,44,625,-1,2087,32,123,2,20,3,90,7,375,596,233,31,256,20
2020-05-11,VER,1306,148,533,-92,2152,65,135,12,19,-1,92,2,444,496,242,65,226,33
2020-05-12,VER,1448,142,525,-8,2208,56,155,20,12,-7,98,6,496,497,253,40,267,34
2020-05-13,VER,1520,72,546,21,2241,33,166,11,15,3,100,2,500,516,254,32,294,27
2020-05-14,VER,1612,92,635,89,2304,63,195,29,19,4,111,11,505,591,273,38,347,27
2020-05-15,VER,1644,32,802,167,2321,17,222,27,27,8,112,1,437,734,247,30,404,24
2020-05-16,VER,1747,103,885,83,2367,46,234,12,26,-1,114,2,446,804,254,21,418,23
2020-05-17,VER,1868,121,863,-22,2403,36,238,4,27,1,114,0,484,769,254,26,369,18
2020-05-18,VER,1978,110,830,-33,2462,59,243,5,29,2,115,1,500,734,274,24,325,21
2020-05-19,VER,2154,176,874,44,2522,60,261,18,47,18,119,4,562,750,285,38,392,19
2020-05-21,VER,2363,209,1111,237,2600,78,292,31,50,3,126,7,578,949,268,35,525,28
2020-05-22,VER,2529,166,1136,25,2700,100,331,39,58,8,133,7,618,969,308,44,508,46
2020-05-23,VER,2615,86,1133,-3,2744,44,341,10,60,2,134,1,590,937,304,41,433,49
2020-05-24,VER,2692,77,1142,9,2782,38,365,24,38,-22,147,13,533,940,273,27,397,26
2020-05-25,VER,2868,176,1016,-126,2882,100,372,7,35,-3,150,3,588,777,318,47,278,43
2020-05-26,VER,3173,305,892,-124,3010,128,416,44,33,-2,155,5,714,668,394,57,316,47
2020-05-27,VER,3281,108,1101,209,3041,31,430,14,38,5,161,6,695,829,384,51,436,34
2020-05-28,VER,3370,89,1294,193,3082,41,460,30,44,6,165,4,675,995,376,40,539,22
2020-05-29,VER,3458,88,1400,106,3102,20,495,35,54,10,168,3,608,1050,347,33,554,20
2020-05-30,VER,3515,57,1465,65,3150,48,506,11,56,2,174,6,560,1097,307,28,494,24
2020-05-31,VER,3604,89,1489,24,3160,10,518,12,62,6,176,2,518,1101,264,22,416,10
2020-06-01,VER,3894,290,1315,-174,3291,131,537,19,55,-7,183,7,616,915,305,39,340,27
2020-06-02,VER,4195,301,1299,-16,3351,60,581,44,66,11,186,3,712,949,311,32,441,21
2020-06-03,VER,4250,55,1551,252,3360,9,649,68,66,0,192,6,617,1158,265,12,535,9
2020-06-04,VER,4468,218,1515,-36,3455,95,682,33,68,2,200,8,712,1104,311,53,494,46
2020-06-05,VER,4755,287,1487,-28,3574,119,721,39,66,-2,205,5,771,1089,354,70,546,60
2020-06-06,VER,4884,129,1549,62,3641,67,748,27,61,-5,211,6,735,1111,375,71,546,61
2020-06-07,VER,5009,125,1534,-15,3659,18,750,2,67,6,211,0,714,1070,333,50,503,36
2020-06-08,VER,5153,144,1559,25,3722,63,774,24,61,-6,215,4,654,1068,329,34,444,21
2020-06-09,VER,5389,236,1592,33,3844,122,815,41,59,-2,225,10,701,1139,378,34,544,23
2020-06-10,VER,5613,224,1672,80,3936,92,870,55,48,-11,234,9,743,1222,408,21,658,23
2020-06-11,VER,5779,166,1758,86,4031,95,911,41,51,3,240,6,745,1308,448,35,705,34
2020-06-12,VER,6005,226,1748,-10,4121,90,937,26,48,-3,246,6,819,1295,461,39,685,37
2020-06-13,VER,6113,108,1813,65,4180,59,973,36,61,13,252,6,757,1322,453,45,630,44
2020-06-14,VER,6421,308,1539,-274,4315,135,1011,38,51,-10,254,2,873,1087,486,53,545,53
2020-06-15,VER,6621,200,1539,0,4420,105,1039,28,45,-6,257,3,856,1069,465,37,563,41
2020-06-16,VER,6823,202,1689,150,4487,67,1091,52,45,0,263,6,899,1202,455,51,659,44
2020-06-17,VER,7084,261,1716,27,4614,127,1123,32,51,6,273,10,980,1208,503,68,680,38
2020-06-18,VER,7240,156,1917,201,4689,75,1160,37,58,7,276,3,965,1411,494,69,812,39
2020-06-19,VER,7422,182,2063,146,4754,65,1196,36,55,-3,284,8,945,1535,478,75,826,49
2020-06-20,VER,7614,192,2056,-7,4855,101,1220,24,58,3,286,2,950,1497,498,65,748,54
2020-06-21,VER,7958,344,1755,-301,5021,166,1248,28,56,-2,288,2,1124,1201,576,109,608,85
2020-06-22,VER,8251,293,1646,-109,5109,88,1267,19,43,-13,292,4,1174,1083,568,63,531,67
2020-06-23,VER,8495,244,1753,107,5244,135,1335,68,40,-3,300,8,1210,1219,601,72,645,53
2020-06-24,VER,8673,178,1913,160,5322,78,1373,38,42,2,305,5,1148,1352,566,63,783,35
2020-06-25,VER,8991,318,1985,72,5429,107,1395,22,48,6,306,1,1290,1415,592,111,845,53
2020-06-26,VER,9345,354,1927,-58,5583,154,1428,33,49,1,312,6,1370,1355,641,137,784,81
2020-06-27,VER,9512,167,2075,148,5644,61,1455,27,48,-1,313,1,1293,1492,604,79,754,49
2020-06-28,VER,9624,112,2095,20,5691,47,1474,19,54,6,315,2,1210,1499,567,44,716,36
2020-06-29,VER,9779,155,2230,135,5736,45,1522,48,69,15,316,1,1073,1575,488,46,647,29
2020-06-30,VER,9974,195,2471,241,5820,84,1547,25,75,6,320,4,1050,1776,456,36,832,26
2020-07-01,VER,10324,350,2480,9,5969,149,1595,48,74,-1,331,11,1183,1771,520,64,882,57
2020-07-02,VER,10472,148,2807,327,6047,78,1635,40,71,-3,339,8,1086,2064,514,36,1053,29
2020-07-03,VER,10683,211,3034,227,6124,77,1656,21,85,14,344,5,1034,2252,483,55,1081,23
2020-07-04,VER,11260,577,2590,-444,6383,259,1719,63,64,-21,353,9,1206,1861,570,88,1031,37
2020-07-05,VER,11348,88,2676,86,6433,50,1724,5,63,-1,354,1,1099,1915,542,34,908,24
2020-07-06,VER,11751,403,2586,-90,6553,120,1745,21,52,-11,361,7,1185,1806,537,43,856,20
2020-07-07,VER,12112,361,2646,60,6695,142,1802,57,60,8,364,3,1314,1875,574,61,873,34
2020-07-08,VER,12506,394,2677,31,6866,171,1844,42,70,10,374,10,1411,1922,654,40,996,10
2020-07-09,VER,12792,286,2818,141,6968,102,1890,46,66,-4,385,11,1417,2057,615,50,1074,15
2020-07-10,VER,13050,258,3049,231,7064,96,1928,38,82,16,394,9,1371,2255,568,43,1156,24
2020-07-11,VER,13361,311,3032,-17,7196,132,1944,16,85,3,394,0,1401,2213,613,54,1081,31
2020-07-12,VER,13530,169,3084,52,7243,47,1963,19,77,-8,396,2,1256,2210,538,31,922,12
2020-07-13,VER,13782,252,3124,40,7352,109,1987,24,80,3,397,1,1225,2201,510,27,818,14
2020-07-14,VER,14324,542,2913,-211,7630,278,2026,39,84,4,403,6,1429,1978,645,38,868,38
2020-07-15,VER,14805,481,2788,-125,7739,109,2058,32,76,-8,409,6,1500,1857,619,43,924,26
2020-07-16,VER,15099,294,2901,113,7882,143,2101,43,79,3,415,6,1499,1937,668,51,949,44
2020-07-17,VER,15614,515,2805,-96,8080,198,2137,36,75,-4,418,3,1625,1847,756,90,884,57
2020-07-18,VER,16034,420,2836,31,8180,100,2159,22,71,-4,423,5,1715,1804,734,104,887,55
2020-07-19,VER,16484,450,2555,-281,8326,146,2164,5,69,-2,425,2,1799,1501,741,149,694,85
2020-07-20,VER,16864,380,2321,-234,8482,156,2188,24,71,2,428,3,1799,1246,748,137,533,71
2020-07-21,VER,17090,226,2668,347,8571,89,2269,81,75,4,435,7,1696,1566,716,78,795,51
2020-07-22,VER,17289,199,2999,331,8620,49,2308,39,88,13,440,5,1596,1879,657,36,978,37
2020-07-23,VER,17739,450,3055,56,8769,149,2350,42,87,-1,447,7,1625,1990,678,58,1112,45
2020-07-24,VER,18124,385,3115,60,8888,119,2432,82,89,2,457,10,1585,1995,646,94,1085,59
2020-07-25,VER,18339,215,3419,304,8972,84,2489,57,88,-1,461,4,1492,2249,628,76,1004,46
2020-07-26,VER,18628,289,3286,-133,9116,144,2512,23,79,-9,465,4,1453,2099,662,48,865,42
2020-07-27,VER,19189,561,2886,-400,9344,228,2525,13,77,-2,468,3,1629,1674,724,101,574,60
2020-07-28,VER,19662,473,2844,-42,9527,183,2625,100,86,9,487,19,1752,1600,805,76,727,48
2020-07-29,VER,19919,257,2857,13,9585,58,2665,40,86,0,490,3,1666,1588,735,47,723,22
2020-07-30,VER,20249,330,2881,24,9738,153,2706,41,80,-6,499,9,1704,1547,769,112,706,47
2020-07-31,VER,20484,235,3082,201,9836,98,2755,49,88,8,500,1,1545,1716,724,90,805,35
2020-08-01,VER,21208,724,2698,-384,10098,262,2806,51,85,-3,511,11,1722,1417,771,136,753,64
2020-08-02,VER,21289,81,2822,124,10134,36,2821,15,90,5,512,1,1517,1507,683,112,696,51
2020-08-03,VER,21626,337,2727,-95,10299,165,2831,10,88,-2,512,0,1457,1332,661,102,567,58
2020-08-04,VER,21797,171,2968,241,10402,103,2873,42,96,8,519,7,1335,1556,647,48,634,33
2020-08-05,VER,22131,334,2974,6,10521,119,2905,32,105,9,521,2,1311,1621,629,37,692,18
2020-08-06,VER,22572,441,2816,-158,10713,192,2946,41,105,0,528,7,1449,1487,685,63,769,32
2020-08-07,VER,22752,180,3038,222,10794,81,2990,44,103,-2,531,3,1310,1696,639,50,872,38
2020-08-08,VER,23111,359,2922,-116,10997,203,3017,27,98,-5,536,5,1324,1571,690,76,803,59
2020-08-09,VER,23313,202,2733,-189,11111,114,3021,4,97,-1,538,2,1294,1355,696,89,566,67
2020-08-10,VER,23655,342,2424,-309,11274,163,3060,39,98,1,541,3,1238,1115,694,67,437,58
2020-08-11,VER,24054,399,2341,-83,11442,168,3097,37,101,3,547,6,1170,1129,695,86,495,66
2020-08-12,VER,24292,238,2381,40,11598,156,3138,41,96,-5,555,8,1180,1148,707,62,602,46
2020-08-13,VER,24511,219,2459,78,11700,102,3201,63,89,-7,562,7,1151,1241,720,69,698,50
2020-08-14,VER,24610,99,2668,209,11769,69,3232,31,96,7,574,12,1041,1406,695,59,760,46
2020-08-15,VER,24897,287,2544,-124,11923,154,3260,28,97,1,577,3,1042,1266,684,106,664,84
2020-08-16,VER,25248,351,2164,-380,12109,186,3275,15,88,-9,579,2,1170,893,720,144,491,100
2020-08-17,VER,25499,251,1948,-216,12243,134,3282,7,90,2,580,1,1203,667,712,141,293,91
2020-08-18,VER,25644,145,2195,247,12277,34,3328,46,93,3,587,7,1090,968,639,67,550,45
2020-08-19,VER,25752,108,2419,224,12358,81,3355,27,95,2,590,3,1006,1163,604,44,705,28
2020-08-20,VER,25930,178,2554,135,12405,47,3393,38,103,8,606,16,974,1308,564,62,750,33
2020-08-21,VER,26014,84,2657,103,12487,82,3421,28,110,7,611,5,901,1365,552,52,685,43
2020-08-22,VER,26419,405,2259,-398,12775,288,3463,42,104,-6,618,7,1094,988,726,103,546,81
