Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,ZAC,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,ZAC,0,0,2,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,ZAC,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,ZAC,0,0,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,ZAC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,ZAC,0,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,ZAC,0,0,2,-2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,ZAC,1,1,7,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,ZAC,2,1,6,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,ZAC,3,1,4,-2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,ZAC,3,0,9,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,ZAC,3,0,28,19,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,ZAC,4,1,32,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,ZAC,4,0,60,28,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,ZAC,4,0,60,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,ZAC,5,1,53,-7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,ZAC,6,1,34,-19,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,ZAC,6,0,26,-8,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,ZAC,6,0,39,13,,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-04-02,ZAC,7,1,34,-5,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,ZAC,7,0,46,12,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,ZAC,10,3,45,-1,149,0,2,1,0,0,0,0,0,0,0,0,0,0
2020-04-05,ZAC,10,0,45,0,164,15,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,ZAC,9,-1,39,-6,173,9,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,ZAC,10,1,48,9,213,40,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,ZAC,11,1,45,-3,191,-22,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,ZAC,11,0,61,16,201,10,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,ZAC,14,3,49,-12,226,25,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,ZAC,14,0,46,-3,235,9,2,0,0,0,0,0,0,0,0,0,0,0
