Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,NLE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,NLE,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,NLE,1,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,NLE,3,2,3,-5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,NLE,5,2,21,18,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,NLE,13,8,2,-19,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,NLE,14,1,1,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,NLE,19,5,8,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,NLE,19,0,35,27,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,NLE,29,10,1,-34,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,NLE,32,3,5,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,NLE,35,3,4,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,NLE,40,5,6,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,NLE,52,12,1,-5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,NLE,52,0,75,74,,0,0,0,0,0,0,0,0,0,0,0,0,0
