Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,ROO,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,ROO,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,ROO,1,1,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,ROO,1,0,8,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,ROO,1,0,7,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,ROO,4,3,9,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,ROO,4,0,19,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,ROO,6,2,12,-7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,ROO,6,0,29,17,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,ROO,11,5,23,-6,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,ROO,12,1,27,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,ROO,12,0,38,11,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,ROO,21,9,19,-19,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,ROO,22,1,20,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,ROO,22,0,30,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,ROO,29,7,37,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,ROO,29,0,53,16,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,ROO,33,4,52,-1,,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-29,ROO,38,5,45,-7,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,ROO,43,5,35,-10,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,ROO,47,4,43,8,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,ROO,51,4,50,7,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,ROO,56,5,97,47,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,ROO,65,9,119,22,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,ROO,75,10,115,-4,198,0,2,1,0,0,0,0,0,0,0,0,0,0
2020-04-05,ROO,86,11,110,-5,214,16,4,2,0,0,0,0,0,0,0,0,0,0
2020-04-06,ROO,115,29,148,38,228,14,8,4,0,0,0,0,0,0,0,0,0,0
2020-04-07,ROO,135,20,171,23,294,66,9,1,0,0,0,0,0,0,0,0,0,0
2020-04-08,ROO,143,8,200,29,317,23,10,1,0,0,0,0,0,0,0,0,0,0
2020-04-09,ROO,159,16,217,17,336,19,12,2,0,0,0,0,0,0,0,0,0,0
2020-04-10,ROO,163,4,234,17,355,19,13,1,0,0,0,0,0,0,0,0,0,0
2020-04-11,ROO,216,53,186,-48,395,40,18,5,0,0,0,0,0,0,0,0,0,0
2020-04-12,ROO,223,7,201,15,408,13,19,1,6,6,9,9,85,131,90,9,46,12
2020-04-13,ROO,239,16,203,2,419,11,22,3,7,1,13,4,86,124,88,9,34,9
2020-04-14,ROO,245,6,201,-2,441,22,25,3,7,0,16,3,83,124,84,2,49,7
2020-04-15,ROO,269,24,182,-19,463,22,27,2,6,-1,17,1,94,95,86,3,52,8
2020-04-16,ROO,276,7,190,8,472,9,28,1,7,1,16,-1,86,102,75,6,48,8
2020-04-17,ROO,280,4,232,42,430,-42,31,3,6,-1,18,2,74,142,65,2,66,10
2020-04-18,ROO,315,35,188,-44,450,20,31,0,5,-1,19,1,94,104,70,11,38,10
2020-04-19,ROO,322,7,183,-5,457,7,31,0,5,0,19,0,79,95,62,8,31,8
2020-04-20,ROO,360,38,150,-33,478,21,34,3,4,-1,20,1,93,69,65,13,33,7
2020-04-21,ROO,393,33,86,-64,489,11,47,13,0,-4,19,-1,100,78,66,13,49,4
2020-04-22,ROO,426,33,69,-17,571,82,56,9,1,1,22,3,108,69,70,16,43,7
2020-04-23,ROO,461,35,57,-12,584,13,61,5,1,0,23,1,117,57,69,18,42,12
2020-04-24,ROO,511,50,56,-1,601,17,71,10,0,-1,25,2,141,56,67,21,39,9
2020-04-25,ROO,540,29,57,1,612,11,76,5,0,0,25,0,137,57,60,17,31,11
2020-04-26,ROO,593,53,78,21,621,9,79,3,0,0,26,1,155,77,61,17,39,5
2020-04-27,ROO,643,50,145,67,640,19,85,6,2,2,26,0,172,139,64,15,60,9
2020-04-28,ROO,688,45,179,34,654,14,90,5,1,-1,26,0,182,164,63,11,83,8
2020-04-29,ROO,701,13,229,50,658,4,108,18,5,4,31,5,170,198,56,10,102,7
2020-04-30,ROO,778,77,206,-23,676,18,114,6,3,-2,32,1,208,173,63,30,104,9
2020-05-01,ROO,820,42,146,-60,706,30,116,2,2,-1,33,1,214,129,71,36,80,14
2020-05-02,ROO,878,58,88,-58,735,29,116,0,3,1,33,0,224,77,87,45,42,23
2020-05-03,ROO,900,22,94,6,748,13,118,2,5,2,33,0,222,84,84,32,44,24
2020-05-04,ROO,912,12,139,45,752,4,119,1,7,2,34,1,189,117,74,24,65,16
2020-05-05,ROO,944,32,142,3,755,3,142,23,9,2,36,2,191,122,74,18,72,9
2020-05-06,ROO,970,26,165,23,767,12,158,16,7,-2,37,1,189,150,80,16,100,9
