Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,YUC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,YUC,1,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,YUC,1,0,1,-2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,YUC,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,YUC,4,3,8,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,YUC,5,1,4,-4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,YUC,8,3,8,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,YUC,13,5,7,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,YUC,13,0,10,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,YUC,14,1,11,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,YUC,19,5,3,-8,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,YUC,19,0,8,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,YUC,24,5,16,8,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,YUC,29,5,16,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,YUC,32,3,18,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,YUC,36,4,19,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,YUC,38,2,10,-9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,YUC,41,3,25,15,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,YUC,46,5,18,-7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,YUC,49,3,25,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,YUC,52,3,34,9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,YUC,53,1,72,38,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,YUC,59,6,69,-3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,YUC,62,3,61,-8,242,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,YUC,67,5,68,7,262,20,2,2,0,0,0,0,0,0,0,0,0,0
2020-04-06,YUC,72,5,64,-4,281,19,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,YUC,74,2,88,24,340,59,2,0,0,0,0,0,0,0,0,0,0,0
