Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,QUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,QUE,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,QUE,2,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,QUE,4,2,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,QUE,4,0,12,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,QUE,6,2,11,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,QUE,7,1,10,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,QUE,7,0,8,-2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,QUE,7,0,5,-3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,QUE,9,2,10,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,QUE,11,2,17,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,QUE,14,3,9,-8,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,QUE,14,0,16,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,QUE,16,2,25,9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,QUE,16,0,31,6,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,QUE,18,2,41,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,QUE,21,3,46,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,QUE,23,2,54,8,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,QUE,25,2,56,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,QUE,26,1,47,-9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,QUE,27,1,43,-4,,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-31,QUE,29,2,61,18,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,QUE,29,0,67,6,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,QUE,32,3,67,0,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,QUE,35,3,52,-15,,0,2,1,0,0,0,0,0,0,0,0,0,0
2020-04-04,QUE,36,1,59,7,226,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,QUE,38,2,37,-22,247,21,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,QUE,40,2,48,11,281,34,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,QUE,45,5,58,10,307,26,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,QUE,47,2,68,10,335,28,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,QUE,50,3,73,5,351,16,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,QUE,55,5,61,-12,384,33,3,1,0,0,0,0,0,0,0,0,0,0
2020-04-11,QUE,57,2,67,6,389,5,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,QUE,61,4,51,-16,407,18,3,0,1,1,1,1,20,37,121,5,23,24
2020-04-13,QUE,61,0,77,26,410,3,3,0,1,0,2,1,19,63,96,3,34,15
2020-04-14,QUE,65,4,68,-9,439,29,4,1,0,-1,6,4,22,53,104,2,34,22
2020-04-15,QUE,69,4,82,14,448,9,5,1,0,0,6,0,22,63,99,5,41,20
2020-04-16,QUE,76,7,78,-4,465,17,5,0,0,0,6,0,27,62,102,11,36,22
2020-04-17,QUE,78,2,89,11,450,-15,6,1,0,0,7,1,25,73,96,10,41,21
2020-04-18,QUE,79,1,81,-8,462,12,6,0,0,0,7,0,24,66,97,9,30,29
2020-04-19,QUE,81,2,70,-11,478,16,6,0,0,0,7,0,24,56,102,5,21,25
2020-04-20,QUE,85,4,65,-5,483,5,6,0,0,0,8,1,25,52,88,6,20,19
2020-04-21,QUE,88,3,39,-26,504,21,6,0,0,0,8,0,25,31,95,6,9,23
2020-04-22,QUE,91,3,35,-4,527,23,7,1,0,0,11,3,26,30,100,2,13,22
2020-04-23,QUE,94,3,24,-11,541,14,7,0,0,0,13,2,28,20,101,4,9,22
2020-04-24,QUE,104,10,29,5,548,7,7,0,0,0,13,0,33,22,93,8,14,21
2020-04-25,QUE,110,6,23,-6,564,16,7,0,0,0,14,1,34,17,101,7,9,20
2020-04-26,QUE,112,2,27,4,567,3,9,2,0,0,16,2,30,22,87,7,14,15
2020-04-27,QUE,123,11,29,2,574,7,10,1,1,1,16,0,39,26,81,8,18,12
2020-04-28,QUE,125,2,51,22,594,20,12,2,0,-1,17,1,37,50,89,5,33,18
2020-04-29,QUE,130,5,59,8,624,30,12,0,0,0,17,0,35,55,103,4,44,22
2020-04-30,QUE,136,6,71,12,632,8,13,1,0,0,17,0,39,69,97,7,57,19
2020-05-01,QUE,150,14,35,-36,667,35,13,0,0,0,17,0,47,34,125,16,24,46
2020-05-02,QUE,158,8,51,16,672,5,15,2,0,0,17,0,48,47,116,17,33,34
2020-05-03,QUE,165,7,52,1,686,14,16,1,0,0,17,0,52,48,118,13,35,33
2020-05-04,QUE,177,12,46,-6,699,13,17,1,0,0,17,0,59,42,114,16,29,23
2020-05-05,QUE,177,0,59,13,711,12,19,2,0,0,19,2,54,55,115,11,43,23
2020-05-06,QUE,189,12,65,6,722,11,19,0,0,0,21,2,56,61,116,13,50,19
2020-05-07,QUE,205,16,62,-3,732,10,20,1,1,1,22,1,69,60,110,22,45,20
2020-05-08,QUE,220,15,58,-4,744,12,21,1,1,0,22,0,80,55,113,24,41,17
2020-05-09,QUE,230,10,70,12,768,24,21,0,1,0,23,1,83,68,121,27,57,27
2020-05-10,QUE,248,18,68,-2,797,29,22,1,1,0,23,0,87,68,118,31,57,27
2020-05-11,QUE,270,22,89,21,808,11,25,3,1,0,24,1,102,82,109,44,70,28
2020-05-12,QUE,291,21,103,14,831,23,26,1,1,0,25,1,118,100,121,42,82,41
2020-05-13,QUE,332,41,97,-6,847,16,27,1,1,0,27,2,152,92,123,69,80,43
2020-05-14,QUE,359,27,145,48,866,19,30,3,3,2,29,2,169,138,131,65,121,46
2020-05-15,QUE,379,20,199,54,889,23,31,1,3,0,31,2,175,186,138,55,161,47
2020-05-16,QUE,421,42,206,7,921,32,35,4,3,0,33,2,202,201,159,57,171,67
2020-05-17,QUE,442,21,204,-2,948,27,43,8,3,0,34,1,210,198,175,51,146,64
2020-05-18,QUE,480,38,209,5,992,44,45,2,4,1,34,0,229,202,208,43,148,59
2020-05-19,QUE,537,57,221,12,1057,65,52,7,3,-1,36,2,260,215,258,43,181,67
2020-05-21,QUE,632,95,248,27,1151,94,61,9,3,0,38,2,297,240,318,76,197,98
2020-05-22,QUE,675,43,253,5,1207,56,69,8,3,0,40,2,305,244,351,75,183,106
2020-05-23,QUE,712,37,220,-33,1248,41,69,0,3,0,41,1,317,207,375,65,130,113
2020-05-24,QUE,732,20,220,0,1271,23,75,6,4,1,41,0,295,206,357,65,113,109
2020-05-25,QUE,755,23,199,-21,1307,36,78,3,4,0,44,3,273,183,347,67,70,92
2020-05-26,QUE,788,33,199,0,1372,65,84,6,6,2,46,2,269,178,366,50,115,59
2020-05-27,QUE,835,47,241,42,1404,32,89,5,7,1,47,1,282,222,370,49,142,56
2020-05-28,QUE,867,32,289,48,1444,40,95,6,7,0,48,1,284,261,373,52,167,77
2020-05-29,QUE,889,22,298,9,1489,45,100,5,6,-1,51,3,259,262,357,48,155,80
2020-05-30,QUE,937,48,263,-35,1549,60,104,4,5,-1,53,2,246,229,376,46,124,101
2020-05-31,QUE,982,45,209,-54,1593,44,105,1,6,1,54,1,265,170,384,47,83,107
2020-06-01,QUE,998,16,230,21,1610,17,108,3,6,0,56,2,251,175,341,30,85,80
2020-06-02,QUE,1026,28,253,23,1632,22,114,6,6,0,58,2,242,188,305,31,107,46
2020-06-03,QUE,1084,58,224,-29,1673,41,124,10,4,-2,62,4,248,164,298,44,100,50
2020-06-04,QUE,1123,39,253,29,1695,22,127,3,3,-1,62,0,242,195,304,47,131,47
2020-06-05,QUE,1181,58,217,-36,1728,33,139,12,4,1,64,2,258,160,289,56,115,54
2020-06-06,QUE,1232,51,186,-31,1764,36,145,6,4,0,68,4,275,125,289,65,90,64
2020-06-07,QUE,1253,21,212,26,1774,10,148,3,4,0,68,0,261,148,267,64,99,50
2020-06-08,QUE,1293,40,204,-8,1801,27,158,10,5,1,72,4,252,138,243,51,81,39
2020-06-09,QUE,1330,37,224,20,1824,23,168,10,5,0,74,2,261,150,211,42,92,38
2020-06-10,QUE,1385,55,216,-8,1856,32,170,2,5,0,76,2,288,150,212,43,111,39
2020-06-11,QUE,1425,40,211,-5,1884,28,174,4,5,0,78,2,301,138,212,66,87,46
2020-06-12,QUE,1456,31,214,3,1923,39,182,8,4,-1,81,3,291,142,230,60,99,51
2020-06-13,QUE,1485,29,227,13,1939,16,188,6,4,0,82,1,280,152,224,57,102,44
2020-06-14,QUE,1541,56,169,-58,1987,48,195,7,5,1,85,3,306,94,245,66,66,64
2020-06-15,QUE,1573,32,160,-9,2007,20,203,8,6,1,86,1,276,88,221,61,66,50
2020-06-16,QUE,1622,49,199,39,2027,20,212,9,5,-1,88,2,260,120,215,60,87,56
2020-06-17,QUE,1662,40,189,-10,2055,28,215,3,5,0,89,1,263,113,219,69,80,56
2020-06-18,QUE,1702,40,198,9,2081,26,221,6,7,2,92,3,284,117,222,71,90,57
2020-06-19,QUE,1734,32,224,26,2101,20,223,2,6,-1,92,0,277,143,216,70,110,56
2020-06-20,QUE,1783,49,223,-1,2127,26,225,2,6,0,92,0,282,142,209,66,102,57
