Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,CHP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,CHP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,CHP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,CHP,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,CHP,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,CHP,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,CHP,1,0,4,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,CHP,1,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,CHP,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,CHP,2,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,CHP,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,CHP,2,0,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,CHP,2,0,6,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,CHP,2,0,1,-5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,CHP,2,0,6,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,CHP,4,2,10,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,CHP,4,0,16,6,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,CHP,7,3,18,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,CHP,6,-1,36,18,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,CHP,10,4,31,-5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,CHP,11,1,24,-7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,CHP,13,2,31,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,CHP,14,1,36,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,CHP,15,1,45,9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,CHP,18,3,46,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,CHP,19,1,67,21,104,0,0,0,0,0,0,0,0,0,0,0,0,0
