Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,PUE,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,PUE,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,PUE,1,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,PUE,3,2,1,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,PUE,6,3,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,PUE,8,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,PUE,9,1,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,PUE,9,0,10,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,PUE,11,2,17,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,PUE,14,3,18,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,PUE,16,2,33,15,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,PUE,16,0,40,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,PUE,16,0,42,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,PUE,22,6,38,-4,,0,0,0,0,0,0,0,0,0,0,0,0,0
