Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,SON,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,SON,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,SON,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,SON,1,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,SON,2,1,11,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,SON,2,0,13,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,SON,2,0,17,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,SON,4,2,7,-10,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,SON,4,0,13,6,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,SON,4,0,16,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,SON,4,0,35,19,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,SON,7,3,48,13,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,SON,8,1,53,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,SON,10,2,48,-5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,SON,14,4,40,-8,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,SON,17,3,62,22,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,SON,17,0,98,36,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,SON,18,1,119,21,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,SON,21,3,148,29,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,SON,22,1,152,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,SON,27,5,131,-21,196,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-04-05,SON,28,1,114,-17,227,31,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,SON,30,2,141,27,232,5,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,SON,35,5,176,35,272,40,1,0,0,0,0,0,0,0,0,0,0,0
