Fecha,Estado,Positivos,Sospechosos,Negativos,Defunciones,Inconsistencias
2020-04-19,AGU,80,58,863,2,
2020-04-19,BCN,680,745,912,75,
2020-04-19,BCS,193,235,581,7,
2020-04-19,CAM,57,24,141,4,
2020-04-19,COA,237,849,1353,18,
2020-04-19,COL,11,20,108,2,
2020-04-19,CHP,67,38,306,3,
2020-04-19,CHH,148,199,326,32,
2020-04-19,CMX,2591,1576,6681,183,
2020-04-19,DUR,21,93,298,4,
2020-04-19,GUA,133,190,1922,9,
2020-04-19,GRO,121,94,363,12,
2020-04-19,HID,87,46,408,14,
2020-04-19,JAL,198,372,2805,13,
2020-04-19,MEX,877,1145,2155,55,
2020-04-19,MIC,115,195,700,17,
2020-04-19,MOR,82,49,338,12,
2020-04-19,NAY,35,29,192,5,
2020-04-19,NLE,184,2184,2204,6,
2020-04-19,OAX,63,37,394,6,
2020-04-19,PUE,352,259,967,41,
2020-04-19,QUE,81,70,478,6,
2020-04-19,ROO,322,183,457,31,
2020-04-19,SLP,63,78,985,4,
2020-04-19,SIN,459,210,865,45,
2020-04-19,SON,117,113,569,12,
2020-04-19,TAB,335,301,571,38,
2020-04-19,TAM,127,140,815,5,
2020-04-19,TLA,76,66,451,4,
2020-04-19,VER,146,385,1004,9,
2020-04-19,YUC,176,108,652,10,
2020-04-19,ZAC,27,48,306,2,
